"offPlayer","offTeam","defPlayer","defTeam","advantage","expectedSnaps"
"Davante Adams","LV","All Defenders","TEN","98.83737","58.10345648"
"Davante Adams","LV","Caleb Farley","TEN","99.182377","20.74555696"
"Davante Adams","LV","Roger McCreary","TEN","96.18272","17.32770658"
"Davante Adams","LV","Ugo Amadi","TEN","97.83737","19.95070804"
"Michael Thomas","NO","All Defenders","CAR","90.86817942","54.5629189"
"Michael Thomas","NO","Jaycee Horn","CAR","81.11342549","24.55331351"
"Michael Thomas","NO","Donte Jackson","CAR","92.55533825","18.41498513"
"Michael Thomas","NO","Myles Hartsfield","CAR","92.74480345","11.59462027"
"Hunter Renfrow","LV","All Defenders","TEN","88.52289542","51.00015959"
"Hunter Renfrow","LV","Caleb Farley","TEN","96.20374285","8.02716216"
"Hunter Renfrow","LV","Roger McCreary","TEN","80.79423134","8.649959224"
"Hunter Renfrow","LV","Ugo Amadi","TEN","81.44653586","34.11543918"
"Justin Jefferson","MIN","All Defenders","DET","88.4115164","61.46787739"
"Justin Jefferson","MIN","Will Harris","DET","80.55557716","21.82149613"
"Justin Jefferson","MIN","Jeffrey Okudah","DET","100","18.5442751"
"Justin Jefferson","MIN","Mike Hughes","DET","68.15620405","20.62251283"
"Cooper Kupp","LA","All Defenders","ARZ","86.64065077","63.98718446"
"Cooper Kupp","LA","Trayvon Mullen","ARZ","75.74481588","11.52439343"
"Cooper Kupp","LA","Marco Wilson","ARZ","98.94606576","9.916338535"
"Cooper Kupp","LA","Byron Murphy Jr.","ARZ","81.07194673","41.34041132"
"A.J. Brown","PHI","All Defenders","WAS","86.48331984","56.75464878"
"A.J. Brown","PHI","Kendall Fuller","WAS","69.33216734","15.0476835"
"A.J. Brown","PHI","William Jackson III","WAS","92.07674001","22.63076809"
"A.J. Brown","PHI","Benjamin St-Juste","WAS","94.50144871","18.7207401"
"Stefon Diggs","BUF","All Defenders","MIA","81.46296444","56.98780309"
