"","Name","ID","Salary","ceil","fpts","total_pts","odds_open","odds_close","odds_delta_per","odds_rank","win","residuals","proj_own","own_change","own"
"17","Jhonattan Vegas",22969182,8500,90,66.99,71.87,0.0134,0.0132,-0.0149,16,0.0117,0.01,11.2,4.72,0.16
"18","Mackenzie Hughes",22969183,8400,80,53.49,52.39,0.011,0.0121,0.1,19,0.0072,0.02,8.9,3.08,0
"19","Rasmus Hojgaard",22969184,8300,84.5,59.93,59.18,0.008,0.0072,-0.1,30,0.0052,-0.45,3.6,4.01,0.08
"20","Brendon Todd",22969185,8200,83.5,59.65,54.91,0.0098,0.0134,0.3673,15,0.0064,0.39,14.6,4,0.05
"21","Aaron Rai",22969187,7900,85.5,62.48,63.26,0.009,0.0086,-0.0444,24,0.0066,0.03,8.5,3.71,0.12
"22","Mark Hubbard",22969188,7900,84,60.61,58.39,0.0083,0.0076,-0.0843,28,0.0059,-0.1,4,4.12,0.08
"23","Cameron Champ",22969189,7800,77,50.25,52.39,0.0089,0.008,-0.1011,26,0.0069,0.01,8.2,2.34,0.09
"24","Adam Long",22969190,7800,79,53.79,52.39,0.0098,0.0084,-0.1429,25,0.0096,0.06,7.4,2.82,0.02
"25","Patrick Rodgers",22969191,7700,83,58.44,57.49,0.0081,0.0071,-0.1235,31,0.0054,-0.06,6.4,3.17,0.1
"26","J.J. Spaun",22969192,7700,82.5,56.37,54.91,0.0117,0.0101,-0.1368,20,0.0076,0.33,9.2,3.63,0.13
"27","Nick Taylor",22969193,7700,82.5,57.95,57.49,0.0066,0.0073,0.1061,29,0.0052,-0.03,10.5,3.24,0.14
"28","Dean Burmester",22969194,7600,83,58.14,56.22,0.0061,0.0053,-0.1311,44,0.0046,-0.24,1.5,3.43,0.05
"29","Dylan Frittelli",22969196,7600,79,53.12,51.08,0.0116,0.0099,-0.1466,21,0.0084,0.36,8.9,2.93,0.07
"30","Austin Smotherman",22969197,7500,81,55.26,52.76,0.0043,0.0045,0.0465,56,0.0036,-0.3,9.9,3.06,0.13
"31","Tyler Duncan",22969198,7500,80,53.51,50.09,0.0056,0.0053,-0.0536,44,0.0045,-0.19,6.6,2.81,0.02
"32","Martin Laird",22969199,7500,80.5,56.11,50.09,0.0072,0.0062,-0.1389,37,0.0032,-0.07,4.5,2.78,0
"33","Alex Smalley",22969200,7500,84.5,59.91,56.06,0.0101,0.0093,-0.0792,22,0.007,0.34,6.2,3.63,0.1
"34","Matt Wallace",22969201,7400,76.5,49.76,50.09,0.0047,0.0053,0.1277,44,0.0015,-0.13,6.7,2.03,0.09
"35","Danny Willett",22969202,7400,79.5,53.35,50.09,0.007,0.0061,-0.1286,38,0.0035,-0.03,2.3,2.43,0.05
"36","Emiliano Grillo",22969203,7400,83,57.34,55.2,0.0061,0.0053,-0.1311,44,0.0048,-0.13,4.4,2.92,0.07
"37","John Huh",22969204,7400,80,53.68,50.09,0.0061,0.0055,-0.0984,40,0.0032,-0.11,3.9,2.8,0.07
"38","David Lipsky",22969205,7300,86.5,63.51,64.28,0.0082,0.0078,-0.0488,27,0.007,0.27,7.5,3.83,0.11
"39","Stephan Jaeger",22969206,7300,80,53.42,48.79,0.007,0.0069,-0.0143,32,0.0044,0.15,4.7,2.68,0.05
"40","Matthias Schwab",22969207,7300,85,62.14,54.79,0.008,0.0069,-0.1375,32,0.0042,0.15,6.7,3.72,0.1
"41","Greyson Sigg",22969208,7300,79,53.76,50.09,0.0059,0.0051,-0.1356,48,0.0034,-0.1,1.8,2.7,0.04
"42","Ryan Armour",22969209,7300,82.5,56.92,55.2,0.0049,0.0045,-0.0816,56,0.0035,-0.18,5.3,2.62,0.08
"43","Joseph Bramlett",22969210,7200,80.5,54.44,44.97,0.0043,0.0037,-0.1395,65,0.0033,-0.24,2.4,2.51,0
"44","Nick Hardy",22969211,7200,81.5,55.11,50.09,0.0061,0.0056,-0.082,39,0.0042,0.03,2.1,2.97,0.05
"45","J.T. Poston",22969212,7200,79,52.35,48.79,0.0078,0.0067,-0.141,34,0.0059,0.18,8.8,2.32,0.11
"46","Rory Sabbatini",22969213,7200,81.5,56.32,48.82,0.005,0.0045,-0.1,56,0.0034,-0.13,5.9,3.25,0.09
"47","Trey Mullinax",22969215,7100,78,51.75,44.97,0.0045,0.0039,-0.1333,62,0.0023,-0.15,2.2,2.24,0.01
"48","Chase Seiffert",22969216,7100,80,54.23,50.09,0.0053,0.0045,-0.1509,56,0.0024,-0.07,2.5,2.74,0.05
"49","Brandt Snedeker",22969217,7100,78.5,52.95,40.05,0.0036,0.0031,-0.1389,73,0.0012,-0.26,3.5,1.91,0
"50","Brian Stuard",22969218,7100,79,53.23,50.09,0.0059,0.0051,-0.1356,48,0.002,0.02,2.1,2.31,0.04
"51","Adam Svensson",22969219,7100,80.5,56.82,48.79,0.0078,0.0067,-0.141,34,0.0041,0.24,13.9,2.95,0.17
"52","Doug Ghim",22969221,7000,82.5,57.77,52.75,0.0103,0.0088,-0.1456,23,0.0076,0.61,10.7,3.33,0.14
"53","Lee Hodges",22969222,7000,81.35,53.59,47.64,0.0061,0.0053,-0.1311,44,0.0027,0.11,2.6,2.88,0.05
"54","Peter Malnati",22969223,7000,76,49.59,48.95,0.0053,0.0045,-0.1509,56,0.0036,-0.01,5,2.46,0.07
"55","Andrew Novak",22969224,7000,81,53.8,48.95,0.0058,0.005,-0.1379,50,0.0032,0.06,1.6,2.87,0.04
"56","Hank Lebioda",22969225,7000,79.5,53.81,43.82,0.0034,0.0029,-0.1471,76,0.0021,-0.24,3.1,2.01,0
"57","Scott Piercy",22969226,7000,78.5,51.8,43.82,0.0047,0.004,-0.1489,60,0.0033,-0.08,1.3,2.25,0
"58","Brandon Wu",22969227,6900,76.35,49.26,48.95,0.0053,0.0045,-0.1509,56,0.0025,0.05,3.6,2.21,0.06
"59","Hayden Buckley",22969228,6900,77.5,50.54,43.82,0.0032,0.0028,-0.125,79,0.0016,-0.19,1.6,2.15,0
"60","Wyndham Clark",22969229,6900,75.5,48.25,47.64,0.0074,0.0063,-0.1486,36,0.0037,0.31,3.2,2.43,0.06
"61","Luke Donald",22969230,6900,78,52.74,43.82,0.0042,0.0036,-0.1429,68,0.0017,-0.08,3.7,2.2,0
"62","Kramer Hickok",22969231,6900,76.5,50.93,47.64,0.0064,0.0055,-0.1406,40,0.003,0.2,1.4,2,0.03
"63","Sean O'Hair",22969234,6800,75.5,48.85,43.82,0.0033,0.0028,-0.1515,79,0.0015,-0.14,1.1,2.16,0
"64","Wesley Bryan",22969235,6800,79.85,53.29,43.82,0.0036,0.0031,-0.1389,73,0.0015,-0.09,1.4,2.68,0
"65","Bill Haas",22969236,6800,71.5,44.73,37.44,0.0047,0.004,-0.1489,60,0.0014,0.04,1.8,1.78,0
"66","Justin Lower",22969237,6800,68.5,40.35,40.23,0.0036,0.0031,-0.1389,73,0.0018,-0.09,2.8,1.56,0
"67","Ryan Moore",22969238,6800,76.5,49.62,39.39,0.0032,0.0028,-0.125,79,8e-04,-0.14,2.3,1.86,0
"68","Vaughn Taylor",22969239,6800,78,51.64,39.39,0.0034,0.0029,-0.1471,76,0.0013,-0.12,5.1,2.28,0
"69","Harry Higgs",22969240,6800,74,46.69,45.7,0.0058,0.005,-0.1379,50,0.0023,0.19,3.1,1.73,0.05
"70","Satoshi Kodaira",22969241,6700,78,51.51,42.97,0.002,0.002,0,98,7e-04,-0.19,1.9,2.28,0.02
"71","Carlos Ortiz",22969242,6700,77,49.87,47.64,0.0059,0.0051,-0.1356,48,0.0029,0.27,5.8,2.75,0.09
"72","Brice Garnett",22969243,6700,80.5,54.79,43.82,0.0029,0.0025,-0.1379,87,0.0024,-0.12,4.6,2.52,0.07
"73","Paul Barjon",22969244,6700,74,46.47,37.44,0.0025,0.0022,-0.12,94,0.001,-0.16,0.85,1.56,0
"74","Ben Kohles",22969245,6700,72.5,44.63,37.44,0.0029,0.0025,-0.1379,87,0.0013,-0.12,1.7,1.84,0
"75","Callum Tarren",22969246,6700,75.5,47.75,43.82,0.004,0.0034,-0.15,70,0.0021,0.02,4.9,2.27,0.03
"76","Charley Hoffman",22969247,6700,79,52.84,43.82,0.0038,0.0037,-0.0263,65,0.0019,0.06,6.1,2.3,0.02
"77","Camilo Villegas",22969248,6600,74.5,47.87,39.39,0.0031,0.0026,-0.1613,83,0.0013,-0.04,1.1,1.61,0
"78","Jonathan Byrd",22969249,6600,72.5,45.54,41.87,0.0031,0.0026,-0.1613,83,0.0019,-0.04,1.2,1.75,0.01
"79","Rafa Cabrera Bello",22969250,6600,73,46.34,37.44,0.0025,0.0022,-0.12,94,7e-04,-0.1,0.88,1.2,0
"80","Michael Gligic",22969251,6600,68.5,40.26,35.8,0.0027,0.0024,-0.1111,89,9e-04,-0.07,2.1,1.26,0
"81","Sam Ryder",22969252,6600,79.5,52.43,42.52,0.0045,0.0039,-0.1333,62,0.0033,0.16,2.6,2.67,0.05
"82","Brandon Hagy",22969253,6600,69.5,41.97,37.44,0.0031,0.0026,-0.1613,83,0.001,-0.04,0.74,0.86,0
"83","Kelly Kraft",22969254,6600,65.5,37.74,35.8,0.0016,0.0014,-0.125,106,9e-04,-0.22,0.25,0.14,0
"84","Danny Lee",22969255,6600,77.5,49.54,42.52,0.0032,0.004,0.25,60,0.0028,0.18,6.3,2.54,0.04
"85","David Lingmerth",22969256,6500,76.5,49.36,39.39,0.0031,0.0026,-0.1613,83,0.0014,0.04,2.6,2.16,0
"86","Cameron Percy",22969257,6500,77.5,51.15,39.39,0.0031,0.0026,-0.1613,83,9e-04,0.04,2.8,2.22,0
"87","Trevor Werbylo",22969258,6500,66,38.12,26,0.0016,0.0014,-0.125,106,0,-0.14,0.36,1.26,0
"88","Dylan Wu",22969259,6500,74.5,46.97,39.39,0.004,0.0034,-0.15,70,0.0013,0.16,0.8,1.89,0
"89","Curtis Thompson",22969260,6500,75,47.34,39.39,0.0027,0.0023,-0.1481,91,9e-04,-0.01,0.19,1.57,0
"90","Ben Martin",22969261,6500,76.5,49.15,42.52,0.0032,0.003,-0.0625,75,0.0018,0.1,1.3,2.49,0.04
"91","Robert Streb",22969262,6500,74,47.59,45.7,0.0056,0.0048,-0.1429,52,0.0028,0.38,1.8,1.86,0.04
"92","Scott Gutschewski",22969263,6500,79.5,51.87,42.52,0.0043,0.0037,-0.1395,65,0.0015,0.21,1.2,2.57,0.04
"93","Nick Watney",22969264,6400,64,36.01,26,0.0014,0.0012,-0.1429,108,0,-0.12,0.34,0.32,0
"94","Aaron Cockerill",22969265,6400,69,41.22,29.95,0.0011,0.001,-0.0909,110,0,-0.15,2.4,1.87,0
"95","Sung Kang",22969266,6400,63.5,36.07,29.35,0.0029,0.0025,-0.1379,87,6e-04,0.08,2.9,0.63,0
"96","Henrik Norlander",22969267,6400,75.5,49.36,43.82,0.0027,0.0023,-0.1481,91,0.0015,0.05,1.6,1.96,0.04
"97","Roger Sloan",22969268,6400,76,48.26,39.39,0.004,0.0034,-0.15,70,0.0013,0.22,0.79,1.79,0.02
"98","David Skinns",22969269,6400,73,44.74,37.44,0.0025,0.0022,-0.12,94,7e-04,0.03,0.57,1.65,0
"99","Jason Dufner",22969270,6400,73.5,46.21,27.64,0.0013,0.0011,-0.1538,109,0,-0.14,0.92,0.78,0
"100","Robert Garrigus",22969271,6400,75.35,47.77,31.67,0.0018,0.0015,-0.1667,104,0,-0.08,1.3,2.6,0
"101","Jim Knous",22969272,6300,70,42.06,27.64,0.0011,9e-04,-0.1818,112,0,-0.11,0.48,1.1,0
"102","Yi Cao",22969273,6300,53.21,25.34,26,9e-04,8e-04,-0.1111,114,0,-0.12,0.02,-3.46,0
"103","Tommy Gainey",22969274,6300,59.5,33.75,26,6e-04,5e-04,-0.1667,126,0,-0.17,0.05,-0.51,0
"104","Mark Hensby",22969276,6300,54.5,31.09,26,6e-04,5e-04,-0.1667,126,0,-0.17,0.68,-0.13,0
"105","Max McGreevy",22969277,6300,70,41.44,37.44,0.0024,0.002,-0.1667,98,7e-04,0.07,0.81,1.24,0.01
"106","Scott Brown",22969278,6300,75,46.35,39.39,0.0024,0.002,-0.1667,98,0.001,0.07,1.1,2.4,0.04
"107","Austin Cook",22969279,6300,62,35.22,26,0.0022,0.0019,-0.1364,100,0,0.05,0.16,-0.01,0
"108","Jared Du Toit",22969282,6200,53.36,25.41,26,6e-04,5e-04,-0.1667,126,0,-0.12,0.14,-2.27,0
"109","David Hearn",22969283,6200,62.5,35.76,26,6e-04,5e-04,-0.1667,126,0,-0.12,0.07,0.03,0
"110","Joshua Creel",22969284,6200,61,34.39,26,9e-04,8e-04,-0.1111,114,0,-0.07,0.05,-0.46,0
"111","Bo Van Pelt",22969285,6200,61,34.43,26,6e-04,5e-04,-0.1667,126,0,-0.12,0.24,-0.61,0
"112","Brett Drewitt",22969286,6200,69.5,40.67,27.64,0.0011,9e-04,-0.1818,112,0,-0.05,0.06,1.01,0
"113","D.A. Points",22969287,6200,55,31.55,26,6e-04,5e-04,-0.1667,126,0,-0.12,0.13,-0.16,0
"114","Jonas Blixt",22969288,6200,58.5,32.99,26,6e-04,5e-04,-0.1667,126,0,-0.12,0.31,-1.11,0
"115","Greg Chalmers",22969290,6200,62,35.08,35.8,0.0024,0.002,-0.1667,98,8e-04,0.12,0.17,0.45,0
"116","Albin Choi",22969291,6200,53.13,25.3,24.72,0.0027,0.0023,-0.1481,91,0,0.17,0.1,0.04,0
"117","Callum Davison",22969292,6100,53.77,25.61,23.13,6e-04,5e-04,-0.1667,126,0,-0.06,0.01,-3.4,0
"118","Max Sekulic",22969293,6100,53.42,25.44,23.13,6e-04,5e-04,-0.1667,126,0,-0.06,0.01,-3.44,0
"119","William Buhl",22969294,6100,53.51,25.48,23.13,6e-04,5e-04,-0.1667,126,0,-0.06,0.01,-3.43,0
"120","Jim Herman",22969295,6100,71,43.44,34.58,0.0042,0.0036,-0.1429,68,8e-04,0.45,0.25,1.44,0
"121","Brendan Leonard",22969296,6100,53.68,25.56,23.13,6e-04,5e-04,-0.1667,126,0,-0.06,0.01,-3.41,0
"122","Wes Heffernan",22969297,6100,52.95,25.21,23.13,6e-04,5e-04,-0.1667,126,0,-0.06,0.01,-3.49,0
"123","Seth Reeves",22969298,6100,69.5,40.46,34.58,0.0014,0.0012,-0.1429,108,7e-04,0.06,0.42,1.16,0
"124","Martin Trainer",22969299,6100,57,32.17,26.49,0.0018,0.0016,-0.1111,102,6e-04,0.12,0.77,-0.32,0
"125","Kevin Stadler",22969300,6100,34.5,28.32,23.13,6e-04,5e-04,-0.1667,126,0,-0.06,0.01,-4.05,0
"126","Bo Hoag",22969301,6100,74,47.34,34.58,9e-04,8e-04,-0.1111,114,7e-04,-0.01,0.26,1.47,0
"127","Seung-Yul Noh",22969302,6100,68.5,39.99,32.93,0.002,0.0017,-0.15,101,0.001,0.14,0.18,1.06,0
"128","Mike Weir",22969303,6000,72.5,45.25,24.78,6e-04,5e-04,-0.1667,126,0,-0.01,0.09,1.94,0
"129","Johnny Travale",22969304,6000,53.16,25.31,23.13,6e-04,5e-04,-0.1667,126,0,-0.01,0.02,-3.44,0
"130","Ricky Barnes",22969305,6000,57,32.13,23.13,6e-04,5e-04,-0.1667,126,0,-0.01,0.06,-1,0
"131","John Merrick",22969306,6000,58.5,33.43,23.13,6e-04,5e-04,-0.1667,126,0,-0.01,0.01,-1.55,0
"132","Myles Creighton",22969307,6000,53.89,25.66,23.13,6e-04,5e-04,-0.1667,126,0,-0.01,0.01,-3.35,0
"133","Joseph Deraney",22969308,6000,53.89,25.66,23.13,6e-04,5e-04,-0.1667,126,0,-0.01,0.01,-3.35,0
"134","Stuart Macdonald",22969310,6000,54.51,25.96,23.13,0.0018,0.0015,-0.1667,104,0,0.16,0.01,-0.35,0
"135","Johnson Wagner",22969311,6000,55.5,31.65,23.13,6e-04,5e-04,-0.1667,126,0,-0.01,0.11,-0.8,0
"136","Ben Crane",22969312,6000,56,31.71,23.13,6e-04,5e-04,-0.1667,126,0,-0.01,0.02,-1.23,0
"137","Brian Davis",22969313,6000,53.27,25.37,23.13,6e-04,5e-04,-0.1667,126,0,-0.01,0.03,-1.49,0
