player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Calais Campbell,4364,DI,ARZ,1,0,0,1,49.1,0,0,23,100.0,0.0,0,0,0.0,0,24,24,0,0,50.9,0,0,10,100.0,0.0,0,0.0,0,11,11,0
Von Miller,6154,ED,WAS,1,0,0,32,52.6,1,0,20,95.7,0.0,0,1,2.5,0,23,22,1,0,54.6,1,0,10,92.3,0.0,0,5.0,0,13,12,1
Cameron Jordan,6176,ED,NO,1,1,0,20,62.8,0,3,26,90.3,11.5,3,0,9.6,1,31,28,4,1,67.4,0,2,8,100.0,25.0,2,12.5,0,8,8,2
Cameron Heyward,6183,DI,PIT,1,1,0,25,68.8,0,2,17,100.0,11.8,2,0,5.9,0,18,18,2,0,58.9,0,2,10,100.0,20.0,2,10.0,0,10,10,2
Bobby Wagner,7050,LB,WAS,1,0,0,32,49.3,0,0,4,13.7,0.0,0,1,0.0,0,51,7,0,0,50.0,0,0,3,23.8,0.0,0,0.0,0,21,5,0
Lavonte David,7060,LB,TB,1,0,0,30,51.9,0,1,4,9.8,0.0,0,0,12.5,0,51,5,1,0,,0,0,0,0.0,,0,,0,26,0,0
Demario Davis,7079,LB,NO,1,0,0,20,69.4,0,1,6,16.7,16.7,1,1,8.3,0,42,7,1,0,55.7,0,0,2,15.4,0.0,0,0.0,0,13,2,0
John Jenkins,7863,DI,BLT,1,0,0,3,54.2,0,0,9,100.0,0.0,0,0,0.0,0,10,10,0,0,56.9,0,0,2,100.0,0.0,0,0.0,0,3,3,0
Khalil Mack,8640,ED,LAC,1,0,0,27,63.2,1,1,33,100.0,9.1,3,0,3.0,0,35,35,2,0,72.4,1,1,10,100.0,20.0,2,10.0,0,11,11,2
DeMarcus Lawrence,8669,ED,SEA,1,0,0,29,49.7,1,1,27,100.0,7.4,2,0,3.7,0,29,29,2,0,53.8,1,0,13,100.0,7.7,1,3.8,0,14,14,1
Kyle Van Noy,8675,ED,BLT,1,0,0,3,59.5,1,1,33,92.9,9.1,3,0,3.0,0,42,39,2,0,56.5,0,1,17,90.5,5.9,1,2.9,0,21,19,1
DaQuan Jones,8747,DI,BUF,1,0,0,4,65.0,0,0,14,100.0,7.1,1,0,0.0,0,15,15,0,0,64.1,0,0,6,100.0,0.0,0,0.0,0,7,7,0
Shelby Harris,8869,DI,CLV,1,0,0,8,52.9,0,0,10,100.0,0.0,0,1,0.0,0,11,11,0,0,54.6,0,0,4,100.0,0.0,0,0.0,0,5,5,0
Mike Pennel,9316,DI,CIN,1,0,0,7,60.3,0,1,11,100.0,9.1,1,0,4.5,0,12,12,1,0,56.9,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Dante Fowler Jr.,9436,ED,DAL,1,0,0,9,64.9,1,2,19,95.0,10.5,2,0,7.9,0,20,19,3,0,67.0,1,2,15,100.0,13.3,2,10.0,0,15,15,3
Leonard Williams,9439,DI,SEA,1,0,0,29,60.3,1,2,32,97.1,9.4,3,1,4.7,0,35,34,3,0,63.9,1,2,15,100.0,13.3,2,10.0,0,16,16,3
Arik Armstead,9450,ED,JAX,1,0,0,15,58.4,1,1,33,100.0,6.1,2,0,3.0,0,35,35,2,0,61.5,1,1,25,100.0,8.0,2,4.0,0,26,26,2
Bud Dupree,9455,ED,LAC,1,1,0,27,62.1,0,3,20,90.9,10.0,2,0,7.5,0,22,20,3,0,56.4,0,1,9,90.0,11.1,1,5.6,0,10,9,1
Mario Edwards Jr.,9468,DI,HST,1,0,0,13,63.2,0,0,13,100.0,15.4,2,0,0.0,0,15,15,0,0,65.2,0,0,3,100.0,33.3,1,0.0,0,3,3,0
Eddie Goldman,9472,DI,WAS,1,0,0,32,66.7,0,1,17,100.0,11.8,2,0,2.9,0,18,18,1,0,65.3,0,1,6,100.0,16.7,1,8.3,0,6,6,1
Danielle Hunter,9521,ED,HST,1,0,0,13,78.7,0,3,26,100.0,30.8,8,0,5.8,0,26,26,3,0,90.6,0,2,9,100.0,66.7,6,11.1,0,9,9,2
Grady Jarrett,9570,DI,CHI,1,0,0,6,49.1,0,0,22,100.0,0.0,0,0,0.0,0,28,28,0,0,50.8,0,0,11,100.0,0.0,0,0.0,0,12,12,0
Quandre Diggs,9633,S,TEN,1,0,0,31,59.1,0,0,1,4.2,0.0,0,0,0.0,0,24,1,0,0,59.1,0,0,1,7.1,0.0,0,0.0,0,14,1,0
Rakeem Nunez-Roches,9650,DI,NYG,1,0,0,21,51.5,0,0,15,100.0,0.0,0,1,0.0,0,17,17,0,0,53.7,0,0,6,100.0,0.0,0,0.0,0,7,7,0
Alex Singleton,9994,LB,DEN,1,0,0,10,57.1,0,1,2,5.6,0.0,0,0,25.0,0,36,2,1,0,59.4,0,0,1,6.7,0.0,0,0.0,0,15,1,0
Joey Bosa,10637,ED,BUF,1,0,0,4,50.3,0,2,17,94.7,11.8,2,0,5.9,0,19,18,2,0,46.9,0,2,8,100.0,12.5,1,12.5,0,9,9,2
Jalen Ramsey,10639,CB,PIT,1,0,0,25,56.0,1,0,2,7.7,0.0,0,1,25.0,0,26,2,1,0,,1,0,0,0.0,,0,,0,13,0,1
DeForest Buckner,10641,DI,IND,1,0,0,14,64.2,1,1,21,95.7,14.3,3,0,4.8,0,23,22,2,0,68.6,1,1,7,100.0,28.6,2,14.3,0,7,7,2
Leonard Floyd,10643,ED,ATL,1,0,0,2,52.1,0,2,22,84.6,4.5,1,0,4.5,0,26,22,2,0,48.8,0,0,13,100.0,0.0,0,0.0,0,13,13,0
Sheldon Rankins,10646,DI,HST,1,0,0,13,74.3,2,3,23,100.0,17.4,4,0,10.9,0,24,24,5,0,66.5,1,3,8,100.0,25.0,2,25.0,0,8,8,4
Kenny Clark,10661,DI,DAL,1,0,0,9,65.9,0,1,20,100.0,15.0,3,0,2.5,0,20,20,1,0,61.8,0,1,16,100.0,18.8,3,3.1,0,16,16,1
Emmanuel Ogbah,10666,ED,JAX,1,0,0,15,51.7,0,0,11,85.7,0.0,0,0,0.0,0,14,12,0,0,52.6,0,0,5,75.0,0.0,0,0.0,0,8,6,0
Chris Jones,10671,DI,KC,1,0,0,16,64.9,0,3,34,100.0,8.8,3,0,4.4,0,36,36,3,0,58.6,0,2,19,100.0,10.5,2,5.3,0,21,21,2
Austin Johnson,10677,DI,JAX,1,1,0,15,69.9,0,0,4,83.3,0.0,0,0,0.0,0,6,5,0,0,59.6,0,0,0,100.0,,0,,0,1,1,0
Jihad Ward,10678,ED,TEN,1,0,0,31,61.3,1,0,8,100.0,12.5,1,0,6.3,0,8,8,1,0,55.0,0,0,3,100.0,0.0,0,0.0,0,3,3,0
A'Shawn Robinson,10680,DI,CAR,1,0,0,5,69.4,1,1,17,100.0,11.8,2,0,5.9,0,17,17,2,0,69.8,0,1,9,100.0,22.2,2,5.6,0,9,9,1
Jarran Reed,10683,DI,SEA,1,0,0,29,62.8,2,0,15,94.4,6.7,1,0,6.7,0,18,17,2,0,59.0,2,0,7,100.0,0.0,0,14.3,0,9,9,2
Kevin Byard,10698,S,CHI,1,0,0,6,52.7,0,0,2,12.9,0.0,0,0,0.0,0,31,4,0,0,58.4,0,0,1,7.7,0.0,0,0.0,0,13,1,0
Maliek Collins,10701,DI,CLV,1,0,0,8,69.5,0,2,23,100.0,21.7,5,0,4.3,0,23,23,2,0,71.2,0,2,14,100.0,28.6,4,7.1,0,14,14,2
Jonathan Bullard,10706,DI,NO,1,0,0,20,51.1,0,0,12,100.0,0.0,0,0,0.0,0,13,13,0,0,55.4,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Javon Hargrave,10723,DI,MIN,1,0,0,18,70.5,0,5,31,100.0,19.4,6,1,14.5,2,33,33,7,0,74.0,0,4,19,100.0,26.3,5,15.8,1,20,20,5
Eric Murray,10740,S,JAX,1,0,0,15,58.4,1,0,1,2.4,0.0,0,0,50.0,0,42,1,1,0,,0,0,0,0.0,,0,,0,27,0,0
