player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Cooper Rush,12324,QB,DAL,2,2.45,2.45,,,14,9,85.7,7,8,2.9,1.76,0,0,0.0,75.0,6,0,0.0,8,57.1,0,4,,,,70.3,57.2,71.5,57.3,,,,0,0,8,,84.4,0.0,0,0,0,1,0,0,0.0,38,4.8,66.7,6,6,7.5,3.37,0,0,0.0,50.0,3,2,25.0,6,42.9,1,0,,,,68.9,44.9,70.6,46.1,,,,0,1,6,0.0,16.7,0.0,0,0,0,0,0,1,16.7,14,2.3
Mac Jones,60323,QB,JAX,2,2.14,2.01,2.7,,11,15,83.3,6,6,0.2,1.71,0,0,0.0,83.3,5,1,0.0,7,63.6,0,1,,,,16.7,31.5,71.1,33.5,,,,0,0,7,100.0,80.6,14.3,1,0,0,0,0,1,14.3,20,3.3,66.7,3,3,8.0,2.88,0,0,0.0,33.3,1,2,50.0,4,36.4,1,0,,,,68.0,28.6,69.9,29.6,,,,0,0,5,50.0,42.4,25.0,1,0,0,0,0,1,20.0,8,2.7
Drew Lock,39517,QB,NYG,1,2.67,2.3,4.3,4.0,10,21,50.0,4,5,8.8,1.84,1,0,0.0,40.0,2,0,0.0,5,50.0,0,0,,,,68.0,53.9,69.9,54.3,,,,0,0,5,,47.9,0.0,0,0,0,0,0,0,0.0,7,1.4,33.3,3,3,11.7,3.5,0,0,0.0,33.3,1,2,0.0,5,50.0,0,1,,,,14.2,23.6,69.9,21.0,,65.9,,0,0,5,50.0,42.4,20.0,1,1,0,0,0,2,40.0,-1,-0.3
Tyrod Taylor,6332,QB,NYJ,1,2.6,2.49,,3.5,9,22,100.0,5,5,3.4,1.96,0,0,0.0,100.0,5,1,0.0,5,55.6,0,3,,,,68.0,77.9,69.9,76.2,,,,0,0,5,0.0,131.3,0.0,0,0,0,0,1,0,0.0,30,6.0,33.3,3,3,6.7,3.4,0,0,0.0,33.3,1,2,0.0,4,44.4,0,0,,,,68.0,51.6,69.9,42.5,,65.6,,0,0,5,0.0,42.4,0.0,0,1,0,0,0,0,0.0,6,2.0
Hendon Hooker,60593,QB,DET,2,2.72,2.76,2.5,,6,11,100.0,2,2,-0.5,1.65,0,0,0.0,100.0,2,0,0.0,2,33.3,0,0,,,,63.6,62.4,66.9,62.0,,,,0,0,2,,79.2,0.0,0,0,0,0,0,0,0.0,6,3.0,33.3,3,3,5.7,3.25,0,0,0.0,33.3,1,3,0.0,4,66.7,0,1,,,,66.9,48.3,69.2,49.2,,,,0,0,4,33.3,56.3,25.0,1,0,0,0,0,0,0.0,19,6.3
Taylor Heinicke,9896,QB,LAC,1,2.64,2.4,2.8,,5,27,100.0,1,1,14.0,2.3,0,0,0.0,100.0,1,1,0.0,2,40.0,0,1,,,,63.6,70.8,66.9,69.7,,,,0,0,2,100.0,118.8,50.0,1,0,0,0,0,0,0.0,18,18.0,100.0,1,1,1.0,2.87,0,0,0.0,100.0,1,2,0.0,3,60.0,0,0,,,,65.5,56.2,68.2,56.5,,,,0,0,3,100.0,91.7,66.7,2,0,0,0,0,0,0.0,6,6.0
Mitch Trubisky,11757,QB,BUF,2,1.87,1.87,,,3,4,100.0,2,2,-1.5,1.2,0,0,0.0,100.0,2,0,0.0,2,66.7,0,0,,,,63.6,62.2,66.9,61.9,,,,0,0,2,,79.2,0.0,0,0,0,0,0,0,0.0,5,2.5,0.0,1,1,21.0,3.2,0,0,0.0,0.0,0,0,,1,33.3,0,0,,,,60.4,21.1,64.6,23.0,,,,0,0,1,,39.6,0.0,0,0,0,0,0,1,100.0,0,0.0
Stefon Diggs,9579,WR,HST,2,4.15,3.4,,4.9,2,13,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,-4.0,4.15,0,0,0.0,100.0,1,0,0.0,2,100.0,0,2,,,,63.6,68.1,66.4,60.4,,62.6,,0,0,2,,118.8,0.0,0,1,0,0,0,0,0.0,13,13.0
Kenny Pickett,60515,QB,PHI,1,2.85,2.5,3.2,,2,24,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,1,,2.85,0,0,0.0,0.0,0,2,,2,100.0,0,0,,,,63.6,55.4,66.9,56.0,,,,1,0,2,50.0,39.6,50.0,1,0,0,0,0,0,0.0,0,0.0
Johnny Hekker,7252,P,CAR,2,2.15,2.15,,,2,5,0.0,2,2,10.5,2.15,0,0,0.0,0.0,0,0,,2,100.0,0,0,,,,63.6,47.9,67.4,50.7,,,,0,0,2,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Darnell Mooney,48236,WR,ATL,1,4.2,4.2,,,1,2,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,1,,4.2,0,0,0.0,0.0,0,1,,1,100.0,0,0,,,,60.4,55.6,63.6,60.0,,,,0,0,1,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
Kyle Allen,26152,QB,PIT,1,2.2,2.2,,,1,25,100.0,1,1,13.0,2.2,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.4,73.1,64.6,71.6,,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,19,19.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Tutu Atwell,77965,WR,LA,1,3.4,3.4,,,1,26,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0,1,1,35.0,3.4,0,0,0.0,0.0,0,0,,1,100.0,0,0,,,,60.4,59.5,64.9,59.7,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Justin Jefferson,61398,WR,MIN,1,8.0,,,8.0,1,18,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,8.0,0,0,,,0,1,,1,100.0,0,0,,,,60.4,53.3,64.9,,,58.3,,0,0,1,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,
Michael Penix Jr.,82134,QB,ATL,1,1.8,1.8,,,1,2,100.0,1,1,3.0,1.8,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.4,72.2,64.6,70.8,,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,14,14.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Jack Fox,34735,P,DET,1,2.0,2.0,,,1,11,100.0,1,1,15.0,2.0,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.4,73.1,65.7,68.8,,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,17,17.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
David Montgomery,45719,HB,DET,1,2.7,2.7,,,1,11,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,11.0,2.7,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.4,72.0,62.8,69.5,,,,0,0,1,,118.8,0.0,0,0,0,0,1,0,0.0,3,3.0
Amon-Ra St. Brown,84470,WR,DET,1,3.9,3.9,,,1,11,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,5.0,3.9,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.4,91.3,64.9,60.5,,,,0,0,1,,135.4,0.0,0,0,0,0,1,0,0.0,7,7.0
Nick Mullens,12282,QB,MIN,1,2.1,2.1,,,1,18,100.0,1,1,22.0,2.1,0,0,0.0,100.0,1,1,0.0,1,100.0,0,1,,,,60.4,76.6,64.6,74.8,,,,0,0,1,0.0,118.8,0.0,0,0,0,0,0,0,0.0,24,24.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Josh Johnson,4474,QB,BLT,1,2.8,2.8,,,1,3,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,0.0,2.8,0,0,0.0,100.0,1,1,0.0,1,100.0,0,0,,,,60.4,60.5,64.6,60.4,,,,0,0,1,0.0,79.2,0.0,0,0,0,0,0,0,0.0,1,1.0
Taysom Hill,12112,TE,NO,1,3.8,3.8,,,1,20,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,-4.0,3.8,0,0,0.0,100.0,1,1,0.0,1,100.0,0,0,,,,60.4,62.4,64.9,60.1,,,,0,0,1,0.0,79.2,0.0,0,0,0,0,0,0,0.0,3,3.0
Joe Mixon,11803,HB,HST,1,2.8,2.8,,,1,13,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0,1,1,18.0,2.8,0,0,0.0,0.0,0,0,,1,100.0,0,0,,,,60.4,54.3,64.6,54.9,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Malik Nabers,146759,WR,NYG,1,4.3,4.3,,,1,21,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,1,,4.3,0,0,0.0,0.0,0,1,,1,100.0,0,0,,,,60.4,60.0,64.6,60.0,,,,0,0,1,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
Jaxon Smith-Njigba,129758,WR,SEA,1,3.8,3.8,,,1,29,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,33.0,3.8,0,0,0.0,100.0,1,1,0.0,1,100.0,0,1,,,,60.4,59.5,64.9,59.7,,,,0,0,1,0.0,118.8,0.0,0,0,0,0,0,0,0.0,35,35.0
Courtland Sutton,48164,WR,DEN,1,2.9,2.9,,,1,10,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,16.0,2.9,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.4,83.7,64.9,71.3,,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,28,28.0
Riley Dixon,10862,P,DEN,1,0.9,0.9,,,1,10,100.0,1,1,-4.0,0.9,0,0,0.0,100.0,1,0,0.0,1,100.0,0,0,,,,60.4,61.3,60.5,60.4,,,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,3,3.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Deebo Samuel,48274,WR,SF,1,8.7,,8.7,,1,28,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,8.7,0,0,,,0,1,,1,100.0,0,0,,,,60.4,55.6,64.9,60.0,,,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,
Adonai Mitchell,146712,WR,IND,1,3.5,3.5,,,1,14,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,-6.0,3.5,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.4,62.2,64.9,60.0,,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,24,24.0
Ty Chandler,62942,HB,MIN,1,4.9,,4.9,,1,18,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,4.9,0,0,,,0,1,,1,100.0,0,0,,,,60.4,60.0,62.8,60.0,,,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,
