,Name,ID,Salary,AvgPointsPerGame,odds_open,odds_close,odds_rank,odds_delta,odds_delta_per,fpts,proj_own,ceil,floor,odds_per_dollar,one,residuals,own_change,adj_own,X.Drafted,FPTS,date,tournament
1,Jon Rahm,22311713,11300,81.44,0.1776,0.1653,1,-0.0123,-0.0693,96.12,36.8,134,72.5,14.63,1,3.03,-12.28,25,0.4041,129.5,4/28/2022,Mexico Open
2,Tony Finau,22311714,10400,62.5,0.0425,0.044,2,0.0015,0.0353,73.7,21.9,90.5,55.5,4.23,1,-2,11.51,35,0.1322,112,4/28/2022,Mexico Open
3,Abraham Ancer,22311715,10300,66.85,0.0438,0.0412,3,-0.0026,-0.0594,67.66,17.1,86,30,4,1,-1.77,3.51,20,0.1235,74,4/28/2022,Mexico Open
4,Kevin Na,22311716,10100,61.12,0.0268,0.0224,11,-0.0044,-0.1642,54.97,7.2,78,24.93,2.22,1,-2.71,-0.56,5,0.0651,74,4/28/2022,Mexico Open
5,Patrick Reed,22311717,10000,64.9,0.0232,0.0286,8,0.0054,0.2328,54.64,7.7,77,25,2.86,1,-1.69,20.07,30,0.0726,69,4/28/2022,Mexico Open
6,Gary Woodland,22311718,9900,58.27,0.0417,0.0382,4,-0.0035,-0.0839,67.72,21.2,86.08,29,3.86,1,-0.33,2.82,25,0.1671,81,4/28/2022,Mexico Open
7,Sebastian Munoz,22311719,9800,65.68,0.0299,0.0283,9,-0.0016,-0.0535,63.31,12.7,83.5,27.5,2.89,1,-0.97,6.1,20,0.1246,76.5,4/28/2022,Mexico Open
8,Cameron Tringale,22311720,9700,68.63,0.027,0.0297,6,0.0027,0.1,65,8.5,84.5,28,3.06,1,-0.5,15.13,25,0.1472,79.5,4/28/2022,Mexico Open
9,Chris Kirk,22311721,9600,65.21,0.0315,0.0295,7,-0.002,-0.0635,74.68,14.3,92,58,3.07,1,-0.21,5.88,20,0.1008,33.5,4/28/2022,Mexico Open
10,Aaron Wise,22311722,9500,65.85,0.0323,0.0322,5,-0.0001,-0.0031,66.2,19.7,86,28.5,3.39,1,0.37,10.08,30,0.1615,106,4/28/2022,Mexico Open
11,Cameron Champ,22311723,9400,48.78,0.0216,0.0244,10,0.0028,0.1296,48,14.7,73,23.5,2.6,1,-0.19,15.63,30,0.0929,101,4/28/2022,Mexico Open
12,Brendon Todd,22311724,9300,56.77,0.0117,0.009,38,-0.0027,-0.2308,53.55,3.7,76,25,0.97,1,-1.61,3.93,10,0.0405,66.5,4/28/2022,Mexico Open
13,Russell Knox,22311725,9200,61.82,0.0181,0.0153,16,-0.0028,-0.1547,61.71,8.8,81,27,1.66,1,-0.74,4.08,15,0.0682,20.5,4/28/2022,Mexico Open
14,Kevin Streelman,22311726,9100,56.16,0.0172,0.0142,21,-0.003,-0.1744,66.11,6.5,84.5,28.5,1.56,1,-0.68,3.79,10,0.0525,66,4/28/2022,Mexico Open
15,Matt Jones,22311727,9000,61.03,0.0184,0.0168,14,-0.0016,-0.087,61.89,12.8,82,26.5,1.87,1,-0.24,6.7,20,0.0968,63,4/28/2022,Mexico Open
16,Doug Ghim,22311728,8900,55.7,0.0174,0.0158,15,-0.0016,-0.092,59.89,5.5,80,26.43,1.78,1,-0.21,6.73,10,0.0525,74,4/28/2022,Mexico Open
17,Sahith Theegala,22311729,8800,64.39,0.0136,0.0152,17,0.0016,0.1176,57.67,8.1,79.5,26,1.73,1,-0.17,13.21,20,0.1361,78,4/28/2022,Mexico Open
18,Aaron Rai,22311730,8700,56.72,0.0165,0.0145,20,-0.002,-0.1212,58.1,7.3,79.5,26,1.67,1,-0.16,6.03,15,0.0981,77,4/28/2022,Mexico Open
19,Carlos Ortiz,22311731,8600,58.93,0.0138,0.0148,18,0.001,0.0725,55.82,9,78.5,25.43,1.72,1,-0.04,12.02,20,0.1131,72.5,4/28/2022,Mexico Open
20,Davis Riley,22311732,8500,59.06,0.0172,0.0197,12,0.0025,0.1453,54.69,10.4,78,24.5,2.32,1,0.62,15.68,25,0.0817,108.5,4/28/2022,Mexico Open
21,Charles Howell III,22311733,8400,58.96,0.0186,0.0148,18,-0.0038,-0.2043,64.56,5.4,83.5,28,1.76,1,0.11,2.9,10,0.1152,73.5,4/28/2022,Mexico Open
22,Lanto Griffin,22311734,8300,62.63,0.0138,0.0139,22,1.00E-04,0.0072,59.15,7.9,80.5,26,1.67,1,0.06,10.25,20,0.1215,84,4/28/2022,Mexico Open
23,Taylor Moore,22311735,8200,51.46,0.0136,0.0119,25,-0.0017,-0.125,53.73,4.4,77,25,1.45,1,-0.12,6.67,10,0.0435,37,4/28/2022,Mexico Open
24,C.T. Pan,22311736,8100,62.83,0.0151,0.0133,23,-0.0018,-0.1192,59.45,8.1,80.5,26,1.64,1,0.11,6.62,15,0.1391,77,4/28/2022,Mexico Open
25,Mark Hubbard,22311737,8000,72.12,0.0166,0.0114,29,-0.0052,-0.3133,55.98,7,79,25,1.43,1,-0.06,0.54,10,0.1949,78.5,4/28/2022,Mexico Open
26,Chad Ramey,22311738,7900,59.94,0.0101,0.0118,26,0.0017,0.1683,48.17,9.2,73.5,23,1.49,1,0.04,13.71,25,0.0909,29.5,4/28/2022,Mexico Open
27,Anirban Lahiri,22311739,7900,51.94,0.0112,0.0095,36,-0.0017,-0.1518,52.21,5.8,75.5,24.5,1.2,1,-0.25,6.64,10,0.0861,77.5,4/28/2022,Mexico Open
28,Adam Long,22311740,7800,58.29,0.0181,0.0176,13,-5.00E-04,-0.0276,52.52,8.7,75.5,24.5,2.26,1,0.85,9.65,20,0.0927,88,4/28/2022,Mexico Open
29,Austin Smotherman,22311741,7800,53.25,0.0104,0.0083,45,-0.0021,-0.2019,52.19,9.9,75.5,24,1.06,1,-0.35,5.95,15,0.0667,63,4/28/2022,Mexico Open
30,Scott Stallings,22311742,7700,55.79,0.012,0.01,34,-0.002,-0.1667,55.97,11.7,77,25,1.3,1,-0.07,6.23,20,0.0959,35,4/28/2022,Mexico Open
31,David Lipsky,22311743,7700,50.69,0.0084,0.008,47,-0.0004,-0.0476,54.94,5.5,77,25,1.04,1,-0.33,8.98,15,0.0526,105,4/28/2022,Mexico Open
32,Patrick Rodgers,22311744,7600,52.37,0.0102,0.0074,50,-0.0028,-0.2745,54.27,4.9,77.5,25,0.97,1,-0.35,4.89,10,0.0804,87.5,4/28/2022,Mexico Open
33,Wyndham Clark,22311745,7600,55.88,0.0136,0.0122,24,-0.0014,-0.1029,43.86,11.3,69.5,22.5,1.61,1,0.29,7.52,20,0.1644,59.5,4/28/2022,Mexico Open
34,J.T. Poston,22311746,7500,46.38,0.012,0.0118,26,-0.0002,-0.0167,48.41,7.4,73.5,23.5,1.57,1,0.3,9.83,15,0.0763,32.5,4/28/2022,Mexico Open
35,Pat Perez,22311747,7500,51.7,0.0112,0.0087,42,-0.0025,-0.2232,55.87,3.3,77.5,25.5,1.16,1,-0.11,5.42,10,0.0947,62,4/28/2022,Mexico Open
