player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Calais Campbell,4364,DI,MIA,16,13,0,17,0,,,8.0,,,0,0,,59.0,0,,,0,0,0.0,0,8,61.5,100,0,0,0,0,0,0,0.0,,0,1,,,1.7,,,0,0,,64.4,0,,57.1,4,0,0.0,0,4,30.8,232,5,2,0,0,0,0,0.0,
Brandon Graham,5538,ED,PHI,11,15,0,24,0,,,3.5,,,0,0,,63.4,0,,,0,0,0.0,0,2,13.3,57,0,0,0,0,0,0,0.0,,0,0,-3.0,100.0,12.6,12.0,12.0,0,0,0.0,47.4,0,5,75.0,3,0,87.5,1,12,80.0,95,4,1,1,0,5,8,0.4,5.0
Kareem Jackson,5545,S,BUF,1,29,0,4,1,,,80.0,,,0,0,,62.0,0,,0.0,0,0,0.0,0,4,13.8,5,0,0,0,0,0,0,0.0,,0,0,,,95.0,,,0,0,,63.8,0,,0.0,0,0,0.0,0,19,65.5,20,0,1,0,0,0,0,0.0,
Jerry Hughes,5556,ED,HST,6,3,0,13,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,9,0,1,0,0,0,0,,,0,0,,,10.7,,,0,0,,60.5,0,,,0,0,0.0,0,3,100.0,28,0,0,0,0,0,0,0.0,
Von Miller,6154,ED,BUF,12,10,0,4,0,,,8.3,,,0,0,,63.8,0,,0.0,0,0,0.0,0,4,40.0,48,0,1,0,0,0,0,0.0,,0,0,,,3.4,,,0,0,,65.2,0,,0.0,0,0,0.0,0,4,40.0,119,5,1,0,0,0,0,0.0,
Cameron Jordan,6176,ED,NO,16,6,0,20,0,,,3.2,,,0,0,,61.9,0,,,0,0,0.0,0,3,50.0,93,1,0,0,0,0,0,0.0,,0,2,,,1.6,,,0,0,,69.2,1,,16.7,1,0,0.0,0,3,50.0,192,4,3,0,0,0,0,0.0,
Nick Bellore,6515,LB,WAS,3,3,0,32,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,-3.5,100.0,100.0,1.5,1.5,0,0,0.0,79.4,0,2,0.0,0,0,79.2,2,3,100.0,3,1,1,2,0,-4,3,-1.3,-2.0
Stephon Gilmore,7016,CB,MIN,14,550,0,18,0,11.4,47.1,100.0,12.8,6.0,0,2,11.8,44.5,0,25,0.0,0,2,65.1,8,109,19.8,109,0,6,17,0,97,36,1.0,12.1,0,7,7.4,70.0,100.0,10.3,7.2,0,6,12.0,69.1,0,25,11.1,4,6,98.8,35,378,68.7,378,11,25,50,2,301,113,0.8,8.6
Bobby Wagner,7050,LB,WAS,16,480,0,32,2,3.0,50.0,74.5,34.0,17.0,0,1,12.5,71.1,0,13,0.0,0,1,56.3,4,149,31.0,200,3,5,8,0,22,18,0.2,5.5,0,3,5.3,73.9,84.8,14.8,11.0,0,2,8.7,57.5,0,32,5.6,1,2,99.4,17,267,55.6,315,9,14,23,0,197,137,0.8,11.6
Lavonte David,7060,LB,TB,16,548,0,30,0,9.6,50.0,76.9,17.8,8.9,0,1,12.5,43.3,0,30,0.0,0,1,81.3,4,83,15.1,108,2,2,8,0,72,40,1.0,18.0,0,8,3.7,89.9,81.2,6.5,5.8,0,2,2.9,65.1,1,49,16.7,10,2,99.6,62,419,76.5,516,19,42,69,1,566,335,1.4,9.1
