player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Devon Kennard,8809,ED,ARZ,1,0,,,9.1,,,0,0,0,,1,77.3,62.6,76.7,50.1,61.5,69.9,0,,0.0,0,0,0,0.0,0,2,22,1,1,0,0,0,0,0.0,
Denico Autry,8982,ED,TEN,1,0,,,9.5,,,0,0,0,,31,61.2,33.4,0.0,47.4,43.3,48.2,0,,50.0,1,0,1,0.0,0,2,21,0,1,0,0,0,0,0.0,
Shaquil Barrett,9000,ED,TB,1,0,,,11.1,,,0,0,0,,30,62.8,72.5,3.0,73.1,70.0,72.8,0,,,0,0,1,0.0,0,4,36,0,0,0,0,0,0,0.0,
Adrian Phillips,9177,S,NE,1,0,6.7,66.7,100.0,8.5,5.7,0,0,0,0.0,19,66.9,75.5,71.3,,77.8,79.5,0,12,0.0,0,0,0,84.0,2,17,17,2,2,3,0,19,0,1.1,9.5
K'Waun Williams,9332,CB,DEN,1,0,-3.5,100.0,100.0,9.0,9.0,0,0,0,0.0,10,58.3,59.7,73.0,,62.9,26.9,0,4,50.0,1,0,0,81.3,2,19,19,0,1,2,0,7,14,0.4,3.5
Bud Dupree,9455,ED,TEN,1,0,-2.0,100.0,7.4,2.0,2.0,0,0,0,0.0,31,60.6,51.2,77.4,64.1,39.8,69.9,0,6,100.0,1,0,0,91.7,1,2,27,1,0,1,0,6,8,3.0,6.0
Shaq Thompson,9458,LB,CAR,1,1,1.8,40.0,97.0,13.5,5.4,0,0,0,0.0,5,48.8,50.4,74.7,59.4,58.1,47.3,0,24,0.0,0,0,0,57.1,2,32,33,0,0,5,0,26,36,1.0,13.0
Preston Smith,9471,ED,GB,1,0,4.0,100.0,10.0,2.0,2.0,0,0,0,0.0,12,62.7,58.8,78.2,59.7,55.6,25.7,0,5,,0,0,0,87.5,1,3,30,0,0,1,0,5,1,2.5,5.0
Eric Kendricks,9478,LB,MIN,1,0,5.5,25.0,97.7,42.0,10.5,0,0,1,25.0,18,78.5,76.4,76.4,60.0,54.8,79.3,0,13,0.0,0,1,0,40.6,1,42,43,0,3,4,0,13,9,0.3,13.0
Denzel Perryman,9481,LB,LV,1,1,-6.0,100.0,93.8,15.0,15.0,0,0,0,0.0,23,78.4,70.3,71.8,59.9,51.3,77.7,0,-3,0.0,0,0,0,79.2,1,15,16,1,1,1,0,-3,3,-0.2,-3.0
Ronald Darby,9483,CB,DEN,1,1,9.2,60.0,100.0,10.3,6.2,0,0,1,20.0,10,63.4,73.6,75.0,,90.2,79.6,0,16,0.0,0,1,1,73.8,3,35,35,0,1,5,0,26,4,0.8,8.7
Jordan Phillips,9485,DI,BUF,1,0,,,3.7,,,0,0,0,,4,59.1,83.1,0.0,90.0,71.2,37.4,0,,100.0,1,0,1,0.0,0,1,27,2,0,0,0,0,0,0.0,
Markus Golden,9491,ED,ARZ,1,0,4.0,100.0,20.0,2.0,2.0,0,0,0,0.0,1,29.0,31.0,75.7,54.1,50.2,70.5,0,20,,0,0,0,118.8,2,4,20,0,0,2,0,38,30,9.5,19.0
Randy Gregory,9493,ED,DEN,1,0,,,22.2,,,0,0,0,,10,91.3,84.8,75.8,73.2,49.8,39.2,0,,0.0,0,0,1,0.0,0,4,18,1,1,0,0,0,0,0.0,
Frank Clark,9496,ED,KC,2,0,,,1.6,,,0,0,0,,16,60.0,55.8,81.6,60.3,48.1,42.3,0,,,0,0,0,0.0,0,1,62,0,0,0,0,0,0,0.0,
P.J. Williams,9511,S,NO,1,2,8.0,100.0,84.6,3.3,3.3,0,0,0,0.0,20,32.8,30.2,74.2,57.1,60.0,77.2,0,31,0.0,0,0,0,118.8,3,11,13,0,2,3,0,44,20,4.4,14.7
Jordan Hicks,9517,LB,MIN,1,1,2.5,100.0,97.7,5.3,5.3,0,0,0,0.0,18,45.9,57.4,77.3,90.4,66.3,53.2,0,25,0.0,0,0,0,112.5,8,42,43,2,5,8,0,88,68,2.1,11.0
Danielle Hunter,9521,ED,MIN,1,0,,,2.9,,,1,0,0,,18,60.0,68.0,80.5,69.0,55.5,36.9,0,,100.0,1,0,1,0.0,0,1,34,1,0,0,0,0,0,0.0,
Steven Nelson,9531,CB,HST,1,1,13.7,57.1,100.0,13.5,7.7,0,0,2,28.6,13,72.4,63.1,79.1,,29.1,27.5,0,16,0.0,0,2,0,113.7,4,56,56,1,3,7,1,41,17,0.8,10.3
Za'Darius Smith,9555,ED,MIN,1,0,,,3.2,,,0,0,0,,18,61.5,55.0,77.9,65.2,40.9,73.8,0,,0.0,0,0,0,0.0,0,1,31,2,1,0,0,0,0,0.0,
Kwon Alexander,9557,LB,NYJ,1,0,1.5,100.0,94.7,8.5,8.5,0,0,0,0.0,22,68.1,74.0,72.2,58.7,73.5,83.1,0,7,0.0,0,0,0,85.4,2,18,19,1,2,2,0,9,6,0.5,4.5
Damien Wilson,9560,LB,CAR,1,0,8.0,100.0,92.9,6.0,6.0,0,0,0,0.0,5,57.1,36.7,74.4,76.6,29.2,46.6,0,19,0.0,0,0,0,118.8,2,13,14,1,2,2,0,26,10,2.2,13.0
Adrian Amos,9575,S,GB,1,0,7.0,75.0,100.0,11.0,8.3,0,0,0,0.0,12,28.2,28.3,73.9,,69.5,22.3,0,36,50.0,1,0,0,153.1,3,34,34,0,1,4,2,47,31,1.4,15.7
Bobby McCain,9578,S,WAS,1,0,3.0,100.0,98.0,44.0,44.0,0,0,0,0.0,32,58.6,55.0,80.4,67.1,43.6,29.8,0,3,0.0,0,0,1,79.2,1,49,50,1,2,1,0,3,0,0.1,3.0
Quandre Diggs,9633,S,SEA,1,2,12.3,66.7,100.0,22.5,15.0,0,1,0,0.0,29,61.4,62.9,80.4,,62.2,84.1,0,5,0.0,0,0,0,70.1,2,47,47,0,2,3,0,8,3,0.2,4.0
Rakeem Nunez-Roches,9650,DI,TB,1,0,,,6.7,,,0,0,0,,30,60.0,59.2,75.0,65.4,56.4,,0,,,0,0,0,0.0,0,1,15,0,0,0,0,0,0,0.0,
Troy Hill,9881,CB,LA,1,1,7.0,66.7,100.0,9.0,6.0,0,0,0,0.0,26,77.6,76.5,77.0,,62.0,61.1,1,21,20.0,1,0,0,87.5,4,36,36,2,3,6,1,43,27,1.2,10.8
Justin Coleman,9892,CB,SEA,1,0,5.1,75.0,100.0,6.3,4.8,0,0,0,0.0,29,54.3,57.2,75.7,,69.5,37.7,0,18,40.0,2,0,0,95.3,6,40,40,1,3,8,0,59,40,1.6,9.8
Alex Singleton,9994,LB,DEN,1,3,1.3,100.0,93.9,9.3,9.3,0,0,0,0.0,10,64.1,67.8,73.8,71.0,63.0,65.9,0,13,0.0,0,0,0,91.7,3,31,33,1,4,3,0,18,14,0.6,6.0
Bryce Callahan,10000,CB,LAC,2,1,10.3,37.5,97.2,21.7,8.1,0,0,0,0.0,27,72.4,66.2,77.8,74.3,29.3,53.8,1,9,0.0,0,0,1,6.3,3,69,71,0,4,8,0,21,8,0.3,7.0
Efe Obada,10235,ED,WAS,1,0,,,11.1,,,0,0,0,,32,60.0,40.4,77.5,52.0,42.7,20.9,0,,,0,0,0,0.0,0,1,9,0,0,0,0,0,0,0.0,
Joey Bosa,10637,ED,LAC,2,1,5.0,100.0,2.7,2.0,2.0,1,0,0,0.0,27,48.4,88.1,34.1,88.8,75.6,75.6,0,21,0.0,0,0,1,118.8,1,2,75,2,0,1,0,21,16,10.5,21.0
Jalen Ramsey,10639,CB,LA,1,0,16.2,83.3,100.0,7.6,6.3,0,0,1,16.7,26,52.4,54.5,76.9,,63.2,78.9,0,53,0.0,0,1,0,158.3,5,38,38,1,4,6,2,103,16,2.7,20.6
Leonard Floyd,10643,ED,LA,1,0,7.0,100.0,15.6,2.5,2.5,0,0,0,0.0,26,30.2,37.7,78.7,52.3,48.2,73.3,0,12,0.0,0,0,0,114.6,2,5,32,0,2,2,0,23,9,4.6,11.5
Eli Apple,10644,CB,CIN,1,0,6.3,66.7,97.6,19.5,13.0,0,0,0,0.0,7,72.1,70.6,77.5,55.0,61.6,29.6,0,7,33.3,1,0,0,70.1,2,41,42,2,2,3,0,8,0,0.2,4.0
William Jackson III,10658,CB,WAS,1,1,11.0,85.7,96.0,7.2,6.1,0,0,0,0.0,32,50.0,54.5,77.5,84.3,53.2,63.8,0,15,0.0,0,0,1,100.6,6,48,50,0,6,7,0,57,8,1.3,9.5
Myles Jack,10670,LB,PIT,1,1,1.6,71.4,95.0,10.4,7.4,0,0,1,14.3,25,70.2,70.0,74.9,70.0,60.5,73.1,0,10,0.0,0,1,0,84.2,5,57,60,1,6,7,0,38,34,0.7,7.6
Xavien Howard,10672,CB,MIA,1,0,13.0,50.0,97.1,32.0,16.0,0,0,1,50.0,17,53.6,55.2,78.3,58.6,64.9,75.4,0,6,0.0,0,1,1,95.8,1,34,35,1,2,2,1,6,3,0.2,6.0
Jihad Ward,10678,ED,NYG,1,0,7.0,0.0,21.6,,7.0,0,0,0,0.0,21,48.6,69.7,78.0,61.7,76.9,75.8,0,,,0,0,0,39.6,0,8,37,0,0,1,0,0,0,0.0,
Vonn Bell,10695,S,CIN,1,0,2.3,66.7,88.4,18.0,12.0,0,0,0,0.0,7,57.4,60.7,75.8,62.4,66.2,76.7,0,32,0.0,0,0,0,109.7,2,38,43,0,1,3,0,42,39,1.2,21.0
James Bradberry,10696,CB,PHI,1,0,14.5,16.7,100.0,39.0,6.5,0,0,0,0.0,24,63.6,59.1,79.0,,42.4,27.5,1,13,50.0,1,0,0,0.0,1,41,41,0,1,6,0,13,7,0.3,13.0
Kevin Byard,10698,S,TEN,1,1,6.8,100.0,100.0,5.6,5.6,0,0,0,0.0,31,60.8,68.1,74.7,,74.7,88.9,0,16,0.0,0,0,0,150.4,5,30,30,2,4,5,1,53,21,1.9,10.6
Carl Nassib,10699,ED,TB,1,0,2.0,100.0,35.7,5.0,5.0,0,0,0,0.0,30,62.0,61.8,76.3,58.6,59.8,,0,5,,0,0,0,87.5,1,5,14,0,0,1,0,5,3,1.0,5.0
Yannick Ngakoue,10703,ED,IND,1,0,,,8.3,,,0,0,0,,14,60.9,46.1,14.9,52.9,51.9,73.5,0,,,0,0,1,0.0,0,3,36,0,0,0,0,0,0,0.0,
Kendall Fuller,10718,CB,WAS,1,0,20.1,42.9,96.0,14.3,6.1,0,0,0,0.0,32,31.9,32.6,79.4,54.9,47.7,45.2,0,49,0.0,0,0,2,81.8,3,48,50,0,3,7,0,74,9,1.7,24.7
Nick Vigil,10721,LB,ARZ,1,0,5.8,100.0,86.4,3.4,3.4,0,0,0,0.0,1,31.2,28.2,73.0,58.1,33.2,33.3,0,35,25.0,1,0,0,158.3,5,19,22,0,3,5,1,76,47,4.5,15.2
Justin Simmons,10732,S,DEN,1,3,4.0,100.0,100.0,15.5,15.5,0,0,0,0.0,10,73.7,74.0,74.4,,55.7,61.5,0,6,0.0,0,0,0,83.3,2,35,35,2,3,2,0,8,0,0.3,4.0
De'Vondre Campbell,10749,LB,GB,1,0,-2.4,60.0,100.0,11.0,6.6,0,0,0,0.0,12,75.9,71.2,77.1,,58.8,46.6,0,10,0.0,0,0,0,67.1,3,34,34,1,2,5,0,18,33,0.5,6.0
Deon Bush,10758,S,KC,2,0,,,92.3,,,0,0,0,,16,65.5,66.7,71.7,59.5,60.0,80.7,0,,0.0,0,0,0,0.0,0,12,13,0,2,0,0,0,0,0.0,
DeAndre Houston-Carson,10819,S,CHI,1,0,,,100.0,,,0,0,0,,6,60.0,60.0,66.0,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Anthony Brown,10823,CB,DAL,1,1,12.0,75.0,100.0,4.8,3.6,0,0,0,0.0,9,54.5,43.5,76.5,,28.7,32.4,0,48,0.0,0,0,0,116.7,6,29,29,0,4,8,0,108,26,3.7,18.0
Kamu Grugier-Hill,10842,LB,HST,1,0,4.9,81.3,91.1,3.8,3.1,0,0,0,0.0,13,46.0,39.5,76.6,52.5,41.6,60.7,0,20,7.1,1,0,0,96.9,13,51,56,5,13,16,0,116,74,2.4,8.9
Elandon Roberts,10848,LB,MIA,1,1,2.3,100.0,100.0,5.3,5.3,0,0,0,0.0,17,37.3,28.5,73.7,,32.5,38.5,0,11,33.3,1,0,0,101.4,3,17,17,0,1,3,0,25,18,1.6,8.3
Jalen Mills,10867,CB,NE,1,0,12.5,75.0,100.0,11.7,8.8,0,0,0,0.0,19,46.2,50.7,77.4,,69.2,36.3,0,42,50.0,1,0,0,156.3,3,35,35,0,1,4,1,62,34,1.8,20.7
Jayron Kearse,10878,S,DAL,1,0,5.0,100.0,95.0,19.0,19.0,0,0,0,0.0,9,46.2,55.1,75.7,59.4,69.1,64.3,0,7,0.0,0,0,0,95.8,1,19,20,0,1,1,0,7,2,0.4,7.0
Mike Hilton,10898,CB,CIN,1,0,8.1,85.7,95.0,6.0,5.1,0,0,0,0.0,7,65.3,72.6,76.3,90.5,67.7,80.8,0,26,0.0,0,0,0,95.8,6,38,40,2,7,7,0,49,12,1.4,8.2
Michael Pierce,11101,DI,BLT,1,0,,,6.5,,,0,0,0,,3,76.5,89.9,77.5,76.1,69.1,70.1,0,,0.0,0,0,0,0.0,0,2,31,1,1,0,0,0,0,0.0,
Cory Littleton,11190,LB,CAR,1,0,7.0,0.0,92.9,,12.0,0,0,1,100.0,5,82.7,53.6,73.9,59.0,31.9,28.1,0,,,0,1,0,39.6,0,13,14,0,0,1,0,0,0,0.0,
Jonathan Jones,11217,CB,NE,1,1,8.0,66.7,100.0,7.3,4.8,0,0,0,0.0,19,66.2,55.8,77.3,,28.3,45.1,0,23,0.0,0,0,0,92.4,4,29,29,0,3,6,0,50,30,1.7,12.5
Jamal Adams,11761,S,SEA,1,0,,,88.9,,,0,0,1,,29,81.0,87.0,73.2,60.0,58.0,80.0,0,,0.0,0,1,0,0.0,0,8,9,0,1,0,0,0,0,0.0,
Marshon Lattimore,11766,CB,NO,1,0,12.0,50.0,100.0,37.0,18.5,0,0,0,0.0,20,67.8,65.4,0.0,,74.7,76.9,0,6,0.0,0,0,2,56.3,1,39,39,0,2,2,0,6,2,0.2,6.0
Haason Reddick,11768,ED,PHI,1,0,5.0,0.0,17.9,,5.0,0,0,0,0.0,24,51.2,59.0,79.2,45.4,79.5,34.9,0,,100.0,1,0,0,39.6,0,5,28,0,0,1,0,0,0,0.0,
Malik Hooker,11770,S,DAL,1,0,,,100.0,,,0,0,0,,9,69.6,62.7,76.3,,48.2,51.7,0,,,0,0,0,0.0,0,22,22,0,0,0,0,0,0,0.0,
Marlon Humphrey,11771,CB,BLT,1,0,8.3,62.5,93.9,11.6,7.3,0,0,0,0.0,3,61.4,61.3,79.0,74.4,47.7,67.8,0,17,16.7,1,0,1,80.2,5,62,66,2,5,8,0,50,12,0.9,10.0
Jonathan Allen,11772,DI,WAS,1,0,,,2.5,,,0,0,0,,32,59.7,69.7,77.0,70.0,61.9,71.4,0,,,0,0,0,0.0,0,1,40,1,0,0,0,0,0,0.0,
Adoree' Jackson,11773,CB,NYG,1,1,9.3,33.3,100.0,35.0,11.7,0,0,0,0.0,21,69.0,71.5,77.9,,74.9,79.6,0,27,0.0,0,0,1,67.4,1,39,39,0,2,3,0,27,15,0.8,27.0
Charles Harris,11777,ED,DET,1,1,,,17.9,,,0,0,0,,11,61.6,47.0,82.5,50.9,42.1,75.1,0,,0.0,0,0,0,0.0,0,7,39,0,1,0,0,0,0,0.0,
Jabrill Peppers,11780,S,NE,1,0,,,76.9,,,0,0,0,,19,65.0,63.8,70.9,54.2,61.2,,0,,,0,0,0,0.0,0,10,13,0,0,0,0,0,0,0.0,
T.J. Watt,11785,ED,PIT,1,0,,,4.4,,,0,0,0,,25,62.0,84.6,15.2,84.8,71.0,76.1,1,,,0,0,1,0.0,0,2,45,1,0,0,0,0,0,0.0,
Budda Baker,11791,S,ARZ,1,0,7.5,50.0,86.4,36.0,18.0,0,0,0,0.0,1,57.4,60.2,76.5,52.5,68.6,74.9,0,10,0.0,0,0,0,64.6,1,38,44,0,4,2,0,10,4,0.3,10.0
Marcus Maye,11794,S,NO,1,0,18.0,0.0,100.0,,37.0,0,1,0,0.0,20,62.3,56.4,77.4,,46.4,54.2,0,,0.0,0,0,1,39.6,0,39,39,1,3,1,0,0,0,0.0,
Marcus Williams,11797,S,BLT,1,2,6.0,100.0,97.0,15.0,15.0,0,0,0,0.0,3,65.7,63.5,82.6,55.0,49.8,87.8,1,15,0.0,0,0,0,53.1,4,64,66,1,9,4,0,25,1,0.4,6.3
Sidney Jones,11798,CB,SEA,1,0,17.0,0.0,90.9,,10.0,0,0,0,0.0,29,76.9,77.2,71.3,60.0,60.9,73.3,0,,,0,0,0,39.6,0,10,11,0,0,1,0,0,0,0.0,
Justin Evans,11805,S,NO,1,0,4.8,20.0,96.8,29.0,5.8,0,0,1,20.0,20,67.4,57.5,73.7,58.5,38.6,74.0,0,5,,0,1,1,39.6,1,30,31,0,0,5,0,5,7,0.2,5.0
Raekwon McMillan,11809,LB,NE,1,0,6.0,100.0,92.0,5.8,5.8,0,0,0,0.0,19,30.1,27.3,75.3,54.5,33.1,78.3,0,14,0.0,0,0,0,107.3,4,23,25,0,3,4,0,39,15,1.7,9.8
Zach Cunningham,11812,LB,TEN,1,1,-1.0,100.0,89.5,8.0,8.0,0,0,0,0.0,31,77.8,67.9,75.0,56.0,55.5,80.2,0,7,0.0,0,0,0,87.5,2,17,19,1,2,2,0,10,12,0.6,5.0
