player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Calais Campbell,4364,DI,BLT,1,0,0,3,66.5,1,0,24,89.7,12.5,3,0,6.3,1,29,26,2,0,75.2,1,0,11,100.0,27.3,3,13.6,1,13,13,2
Tyson Alualu,5535,DI,PIT,1,0,0,25,56.3,0,0,23,100.0,4.3,1,0,0.0,0,24,24,0,0,52.1,0,0,11,100.0,0.0,0,0.0,0,11,11,0
Brandon Graham,5538,ED,PHI,1,0,0,24,63.9,0,3,19,100.0,21.1,4,0,13.2,1,19,19,4,0,76.1,0,1,8,100.0,37.5,3,18.8,1,8,8,2
Jerry Hughes,5556,ED,HST,1,0,0,13,86.6,0,2,37,97.4,18.9,7,0,8.1,2,38,37,4,0,70.9,0,2,17,94.4,29.4,5,5.9,0,18,17,2
Carlos Dunlap,5579,ED,KC,1,0,0,16,55.9,0,0,18,95.0,5.6,1,0,5.6,1,20,19,1,0,58.3,0,0,10,91.7,10.0,1,10.0,1,12,11,1
Al Woods,5646,DI,SEA,1,0,0,29,55.5,0,1,11,100.0,9.1,1,0,4.5,0,11,11,1,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Von Miller,6154,ED,BUF,1,0,0,4,77.9,1,1,25,96.3,20.0,5,0,12.0,2,27,26,4,0,70.2,1,0,15,100.0,26.7,4,16.7,2,16,16,3
Robert Quinn,6166,ED,CHI,1,0,0,6,58.5,0,3,26,96.4,11.5,3,0,5.8,0,28,27,3,0,58.0,0,2,16,94.4,12.5,2,6.3,0,18,17,2
Cameron Jordan,6176,ED,NO,1,0,0,20,57.0,0,1,29,100.0,6.9,2,0,1.7,0,30,30,1,0,57.8,0,1,9,100.0,11.1,1,5.6,0,9,9,1
Cameron Heyward,6183,DI,PIT,1,0,0,25,68.1,2,2,35,100.0,14.3,5,0,8.6,1,39,39,5,0,60.0,1,2,22,100.0,9.1,2,6.8,0,26,26,3
Justin Houston,6222,ED,BLT,1,0,0,3,76.2,1,4,40,97.8,25.0,10,0,8.8,1,45,44,6,0,62.8,0,3,20,96.0,25.0,5,7.5,0,25,24,3
Lawrence Guy,6385,DI,NE,1,0,0,19,57.5,0,0,17,100.0,5.9,1,0,0.0,0,17,17,0,0,54.9,0,0,4,100.0,0.0,0,0.0,0,4,4,0
Josh Bynes,6503,LB,BLT,1,0,0,3,60.0,0,0,1,5.3,0.0,0,0,0.0,0,19,1,0,0,,0,0,0,0.0,,0,,0,5,0,0
Fletcher Cox,7018,DI,PHI,1,0,0,24,74.1,1,0,26,100.0,19.2,5,1,5.8,1,27,27,2,0,77.5,0,0,12,100.0,25.0,3,8.3,1,13,13,1
Michael Brockers,7020,DI,DET,1,0,0,11,53.1,0,1,14,100.0,7.1,1,0,3.6,0,14,14,1,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Melvin Ingram III,7024,ED,MIA,1,0,0,17,58.3,0,0,9,50.0,0.0,0,0,0.0,0,20,10,0,0,53.9,0,0,4,50.0,0.0,0,0.0,0,8,4,0
Chandler Jones,7027,ED,LV,1,0,0,23,65.4,1,1,30,93.9,16.7,5,0,3.3,0,33,31,2,0,71.3,1,0,9,90.0,33.3,3,5.6,0,10,9,1
Bobby Wagner,7050,LB,LA,1,0,0,26,86.5,0,0,5,13.2,40.0,2,0,20.0,1,38,5,1,0,81.6,0,0,3,23.1,33.3,1,33.3,1,13,3,1
Lavonte David,7060,LB,TB,1,0,0,30,62.1,0,0,6,12.0,16.7,1,0,0.0,0,50,6,0,0,65.6,0,0,4,13.3,25.0,1,0.0,0,30,4,0
Akiem Hicks,7090,DI,TB,1,0,0,30,56.5,1,1,24,100.0,16.7,4,0,4.2,0,26,26,2,0,62.1,1,1,12,100.0,33.3,4,8.3,0,12,12,2
Johnathan Hankins,7830,DI,LV,1,0,0,23,52.9,0,0,15,100.0,0.0,0,0,0.0,0,16,16,0,0,55.8,0,0,4,100.0,0.0,0,0.0,0,4,4,0
John Jenkins,7863,DI,MIA,1,0,0,17,54.3,0,0,6,100.0,0.0,0,0,0.0,0,6,6,0,0,58.0,0,0,2,100.0,0.0,0,0.0,0,2,2,0
William Gholston,7908,DI,TB,1,0,0,30,55.7,1,0,15,93.8,6.7,1,0,3.3,0,16,15,1,0,51.8,0,0,8,100.0,0.0,0,0.0,0,8,8,0
Steven Means,7929,ED,BLT,1,0,0,3,65.1,0,1,17,94.7,11.8,2,0,2.9,0,19,18,1,0,66.6,0,0,8,100.0,12.5,1,0.0,0,9,9,0
