player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Matthew Stafford,4924,QB,LA,10,3.69,0,376,26,69.2,276,303,9.9,2.74,4,21,6.5,57.1,173,127,9.4,335,89.1,18,115,,,,64.7,91.0,83.5,70.3,81.4,90.6,,62.1,3,9,360,15.0,80.6,5.7,19,13,3,17,11,7,1.9,2267,7.5,71.0,255,273,8.0,2.5,2,11,3.8,60.1,164,102,9.4,302,80.3,17,91,,,,,90.8,73.6,69.1,71.7,,,67.4,2,8,324,17.6,81.6,6.0,18,10,3,11,12,6,1.9,1771,6.5,78.9,57,69,9.9,3.12,4,10,13.5,63.8,44,28,2.2,74,19.7,1,33,,,,64.7,83.4,93.8,79.7,92.9,90.6,,50.1,1,1,79,7.1,97.4,2.7,2,3,0,7,1,1,1.3,718,10.4,0,97.2,36,39,-3.4,1.66,2,0,0.0,89.7,35,3,0.0,41,10.9,0,9,,,,,79.5,66.0,77.4,65.4,,,,0,0,43,33.3,107.5,2.4,1,0,0,1,2,0,0.0,222,5.7,3.92
Kenny Pickett,60515,QB,PIT,11,19.88,0,350,25,67.7,260,279,8.9,2.84,4,12,4.0,59.5,166,127,5.7,314,89.7,10,87,,,,,91.1,71.1,69.9,68.4,,,71.9,2,4,334,18.1,80.7,7.3,23,12,1,12,6,7,2.1,1863,6.7,67.4,242,263,8.2,2.69,6,11,3.9,58.6,154,119,5.5,294,84.0,9,71,,,,,91.0,68.1,69.2,64.6,,,76.3,2,4,312,17.6,75.7,7.1,21,9,1,12,4,6,1.9,1647,6.3,89.6,48,51,4.6,2.9,1,1,1.8,78.4,40,13,7.0,56,16.0,3,20,,,,,81.5,77.6,78.6,79.1,,,50.1,0,0,60,15.4,108.6,3.6,2,3,0,2,2,1,1.7,353,6.9,0,100.0,30,35,-3.8,1.66,3,0,0.0,80.0,28,5,6.7,36,10.3,2,4,,,,,78.7,64.2,77.0,63.7,,,,0,0,38,0.0,83.0,0.0,0,0,0,2,0,0,0.0,137,3.9,0.66
Brock Purdy,77672,QB,SF,11,13.6,0,345,28,77.8,248,272,10.1,2.84,6,20,6.8,68.0,185,134,4.1,305,88.4,8,128,,,,,58.7,83.5,36.8,78.5,58.9,,90.6,2,6,327,14.2,110.0,6.2,19,14,2,14,17,14,4.3,2585,9.5,76.7,215,233,8.8,2.51,6,16,6.4,67.0,156,111,5.5,262,75.9,9,97,,,,,37.3,72.5,33.1,68.3,,,87.4,2,5,282,14.4,99.9,6.1,16,8,2,8,10,14,5.0,2052,8.8,89.2,65,72,7.8,3.21,1,4,5.3,80.6,58,27,0.0,83,24.1,0,42,,,,,83.9,92.5,80.0,90.7,58.9,,81.0,0,1,86,18.5,147.9,6.0,5,6,0,6,9,1,1.2,819,11.4,0,93.8,32,33,-3.5,1.46,1,0,0.0,87.9,29,4,3.3,40,11.6,1,11,,,,,26.5,56.4,77.3,56.3,,,,0,0,41,50.0,123.0,5.0,2,0,0,0,2,1,2.4,286,8.7,2.57
Kirk Cousins,7102,QB,MIN,8,1.7,0,331,18,79.4,262,278,9.0,2.79,1,10,3.4,68.3,190,104,8.7,298,90.0,18,103,,,,,41.5,86.5,23.0,85.4,,,64.8,7,5,318,16.3,104.0,5.7,17,3,2,6,17,8,2.5,2143,7.7,80.1,206,219,8.2,2.52,1,8,3.4,68.9,151,73,8.5,228,68.9,14,76,,,,,46.6,79.1,12.7,78.9,,,61.7,6,5,242,11.0,101.9,3.5,8,1,2,4,13,6,2.5,1688,7.7,81.6,87,92,6.3,3.07,0,2,2.0,70.7,65,35,8.5,103,31.1,6,36,,,,,51.4,89.6,81.0,86.8,60.0,,66.4,1,0,111,25.7,108.2,8.7,9,2,0,4,5,2,1.8,643,7.0,0,90.3,31,33,-3.5,1.84,0,0,0.0,78.8,26,4,7.1,33,10.0,2,9,,,,,78.3,67.4,76.8,66.9,60.0,,,0,0,35,0.0,100.5,0.0,0,0,0,2,1,0,0.0,188,5.7,-0.72
Gardner Minshew,41401,QB,IND,10,4.0,0,327,14,71.3,237,262,8.7,2.77,9,7,2.5,60.7,159,117,5.9,291,89.0,10,86,,,,,29.8,53.6,87.3,52.1,,,61.1,2,7,310,14.5,79.4,5.8,17,12,0,14,7,19,6.1,1819,6.9,74.1,212,235,7.2,2.57,10,4,1.6,62.1,146,99,7.0,255,78.0,11,67,,,,,49.2,56.3,87.0,55.8,,,52.7,1,4,266,11.1,80.2,4.3,11,8,0,12,6,13,4.9,1407,6.0,75.0,56,62,7.9,2.83,0,3,4.3,66.1,41,20,2.4,72,22.0,1,26,,,,,26.8,53.6,79.7,50.7,,,74.2,1,3,81,30.0,85.8,8.3,6,4,0,5,2,6,7.4,565,9.1,0,96.8,31,35,-2.7,1.48,1,0,0.0,80.0,28,2,6.7,36,11.0,2,7,,,,,78.6,66.8,76.9,66.1,,,,0,0,37,0.0,94.4,0.0,0,0,0,3,1,0,0.0,153,4.4,3.12
Desmond Ridder,55086,QB,ATL,10,-7.63,0,309,2,71.3,223,241,9.7,2.73,8,8,3.1,62.7,151,99,5.0,282,91.3,8,99,,,,,26.1,51.2,33.0,51.6,57.6,,55.4,0,8,299,25.3,78.4,8.9,25,16,1,9,5,19,6.4,1792,7.4,74.0,181,190,7.0,2.37,6,2,1.0,67.4,128,65,4.5,220,71.2,6,71,,,,,23.8,45.3,26.6,46.1,57.6,,51.8,0,6,232,27.7,78.0,8.2,18,12,1,2,3,15,6.5,1264,6.7,73.1,67,77,12.1,3.27,2,6,7.4,59.7,46,36,6.1,89,28.8,3,33,,,,,84.6,70.6,80.4,68.6,,,67.6,0,2,95,19.4,93.2,7.9,7,4,0,8,4,4,4.2,644,8.4,0,96.0,25,26,-3.3,1.61,0,0,0.0,88.5,23,2,4.2,27,8.7,1,5,,,,,77.0,65.7,75.9,65.1,,,,0,0,28,0.0,110.9,0.0,0,0,0,1,2,0,0.0,116,4.5,1.71
Justin Fields,82118,QB,CHI,8,6.6,0,276,6,72.2,162,186,10.2,3.52,5,9,4.7,61.8,115,133,1.7,240,87.0,2,82,,,,,27.4,74.0,20.7,66.6,,,83.6,3,5,248,21.1,95.9,11.7,28,26,0,16,12,9,3.6,1429,7.7,74.3,152,172,7.6,3.14,6,9,5.1,62.8,108,98,4.4,207,75.0,5,61,,,,,28.4,72.6,15.7,66.3,,,80.6,3,6,211,18.4,86.8,8.7,18,16,0,11,10,7,3.3,1137,6.6,81.0,42,49,10.0,3.79,1,0,0.0,69.4,34,39,0.0,69,25.0,0,26,,,,,45.4,70.5,79.5,65.5,,,74.5,0,0,75,25.6,111.8,14.5,10,10,0,6,2,2,2.7,450,9.2,0,93.8,32,35,-2.4,1.85,2,0,0.0,77.1,27,4,10.0,36,13.0,3,5,,,,,78.7,64.4,77.0,65.0,,,58.3,0,1,38,0.0,73.3,0.0,0,0,0,1,0,0,0.0,158,4.5,2.57
Daniel Jones,39395,QB,NYG,6,7.21,0,209,21,73.5,136,147,7.9,2.94,3,4,2.6,65.3,96,93,4.0,196,93.8,4,48,,,,,43.0,62.7,85.0,53.7,58.9,,82.2,2,6,207,32.3,68.9,15.3,30,19,0,6,2,9,4.3,877,6.0,72.1,111,116,7.4,2.76,1,2,1.7,65.5,76,69,5.0,152,72.7,4,36,,,,,52.2,57.1,84.4,49.7,58.9,,74.7,1,6,162,31.9,62.0,14.5,22,14,0,3,2,6,3.7,589,5.1,84.2,38,44,5.3,3.09,2,2,4.5,72.7,32,26,0.0,57,27.3,0,15,,,,,36.3,77.2,78.5,68.0,,,88.1,1,0,58,30.8,93.0,14.0,8,5,0,3,0,3,5.2,320,7.3,0,92.3,13,13,-3.7,1.48,0,0,0.0,92.3,12,2,0.0,13,6.2,0,3,,,,,72.8,64.0,73.2,63.6,,,,0,0,13,0.0,79.2,0.0,0,0,0,0,0,0,0.0,32,2.5,2.19
Deshaun Watson,11767,QB,CLV,6,8.6,0,204,8,70.6,136,150,10.7,3.21,2,6,3.8,58.0,87,70,9.4,182,89.2,9,54,,,,,33.4,67.7,27.3,66.8,,,65.1,3,4,195,22.9,83.2,8.8,16,16,1,8,7,5,2.6,1019,6.8,71.4,119,129,8.5,2.93,2,4,2.9,59.7,77,53,9.4,150,73.5,8,40,,,,,68.5,64.5,21.8,64.2,,,62.5,2,3,160,15.1,78.1,5.3,8,13,1,5,5,3,1.9,712,5.5,78.4,37,41,10.7,3.63,0,2,4.5,68.3,28,23,3.4,54,26.5,1,18,,,,,23.1,70.7,78.7,69.5,,,63.2,1,1,58,34.8,106.0,14.8,8,5,0,3,2,2,3.4,403,9.8,0,90.0,20,20,-2.6,2.3,0,0,0.0,90.0,18,6,0.0,22,10.8,0,4,,,,,75.9,60.0,75.2,62.7,,,54.6,0,0,23,0.0,86.7,0.0,0,2,0,0,0,0,0.0,96,4.8,4.31
Aidan O'Connell,60516,QB,LV,6,-14.17,0,193,23,71.2,146,157,9.4,2.71,5,6,3.7,60.5,95,66,8.7,170,88.1,9,54,,,,,46.3,59.0,84.9,57.9,,,60.2,2,6,176,19.7,74.9,7.6,13,0,0,4,4,7,4.0,1123,7.2,76.0,129,138,6.5,2.43,3,3,2.1,66.7,92,52,6.1,153,79.3,6,42,,,,,42.1,51.8,84.6,50.6,,,60.2,1,6,158,25.0,69.7,8.5,13,0,0,5,2,7,4.4,841,6.1,69.4,36,40,13.1,2.98,2,3,7.1,52.5,21,14,16.0,40,20.7,4,14,,,,,79.3,77.0,77.4,75.5,,,,1,0,42,0.0,99.3,0.0,0,0,0,1,2,1,2.4,353,8.8,0,100.0,19,21,-3.2,1.28,0,0,0.0,85.7,18,0,5.3,23,11.9,1,2,,,,,76.1,57.1,75.3,57.0,,,,0,0,24,,80.8,0.0,0,0,0,2,0,1,4.2,71,3.4,2.74
Jimmy Garoppolo,8697,QB,LV,6,-0.78,0,189,23,72.9,144,154,9.8,2.93,5,2,1.2,63.0,97,56,7.6,175,92.6,8,59,,,,,72.5,64.8,54.4,64.8,58.9,,58.8,1,8,187,23.2,75.4,7.4,13,8,1,3,6,6,3.2,1090,7.1,76.4,123,131,9.1,2.79,3,1,0.7,65.6,86,47,8.5,149,78.8,8,49,,,,,69.2,69.6,51.4,69.3,58.9,,61.3,1,5,158,25.5,82.4,8.1,12,6,1,3,5,4,2.5,906,6.9,68.6,35,37,7.9,3.03,2,1,2.5,64.9,24,10,0.0,40,21.2,0,14,,,,,79.5,51.0,77.4,52.5,,,54.7,0,4,43,10.0,68.2,2.5,1,2,0,0,2,2,4.7,299,8.1,0,92.9,14,14,-1.3,1.66,0,0,0.0,92.9,13,1,0.0,14,7.4,0,4,,,,,73.2,68.4,73.5,67.7,,,,0,1,14,0.0,94.9,0.0,0,0,0,0,1,0,0.0,115,8.2,1.16
Ryan Tannehill,7014,QB,TEN,6,-5.3,0,184,31,70.8,130,139,11.8,2.79,3,9,5.9,59.7,83,70,9.8,164,89.1,9,47,,,,,76.1,73.2,85.2,72.6,55.9,,58.0,2,6,179,25.7,68.7,11.0,18,7,1,3,2,7,3.9,1002,7.2,73.8,103,110,7.9,2.51,3,6,4.9,63.6,70,54,7.9,130,70.7,6,28,,,,,72.1,60.5,84.7,61.0,58.8,,48.4,2,4,143,31.5,63.3,13.1,17,3,1,1,0,5,3.5,616,5.6,70.5,44,48,14.6,3.16,2,3,5.9,58.3,28,17,9.7,54,29.3,3,22,,,,,81.2,88.8,78.5,85.6,58.4,,71.1,0,2,57,11.8,91.7,3.7,2,4,0,2,2,2,3.5,512,10.7,0,88.2,17,19,-4.4,1.99,2,0,0.0,78.9,15,1,0.0,20,10.9,0,3,,,,,75.4,55.5,74.9,55.6,,,,0,0,21,100.0,94.3,5.0,1,0,0,0,0,0,0.0,126,6.6,5.07
Will Levis,83542,QB,TEN,5,0.54,0,167,31,63.4,112,123,14.2,2.9,3,8,6.1,52.8,65,67,8.5,139,83.2,6,40,,,,,67.6,53.5,84.5,54.5,58.9,,48.0,3,2,150,19.4,86.2,9.4,13,3,2,3,6,9,6.0,902,7.3,69.9,103,111,9.6,2.51,2,4,3.4,59.5,66,50,8.3,119,71.3,6,31,,,,,63.9,48.7,84.1,48.9,58.9,,51.4,3,2,126,14.0,75.1,5.9,7,1,2,1,2,8,6.3,665,6.0,69.4,36,40,14.1,3.14,2,4,9.1,60.0,24,21,4.0,48,28.7,1,14,,,,,80.8,72.7,78.2,73.4,,,52.3,0,0,53,28.6,124.3,12.5,6,2,0,2,4,1,1.9,373,9.3,0,96.3,27,28,-3.8,1.67,1,0,0.0,89.3,25,4,3.8,28,16.8,1,5,,,,,77.2,69.6,76.0,68.7,,,,0,0,29,0.0,86.9,0.0,0,0,0,0,0,0,0.0,136,4.9,3.34
Tyson Bagent,169628,QB,CHI,5,15.96,0,159,6,74.8,107,117,8.6,3.17,2,2,1.6,64.1,75,51,6.3,133,83.6,5,48,,,,,44.5,56.9,84.6,49.6,57.6,,80.0,3,6,139,9.8,69.4,3.8,5,11,0,5,3,11,7.9,749,6.4,73.1,104,115,6.6,2.76,3,2,1.7,62.6,72,41,5.3,124,78.0,4,39,,,,,65.2,53.4,84.5,45.3,,,83.3,2,6,130,4.9,57.4,1.6,2,7,0,6,1,10,7.7,608,5.3,88.9,27,28,5.9,3.46,0,0,0.0,78.6,22,12,8.3,35,22.0,2,16,,,,,27.4,70.7,76.9,71.7,57.6,,58.9,1,0,36,25.0,128.3,8.6,3,4,0,0,2,1,2.8,254,9.1,0,83.3,24,26,-3.0,1.61,1,0,0.0,73.1,19,2,5.0,26,16.4,1,7,,,,,76.8,61.4,75.8,61.1,,,,0,0,27,0.0,81.1,0.0,0,0,0,1,0,0,0.0,113,4.3,3.78
Tommy DeVito,60545,QB,NYG,5,-11.83,0,147,21,74.7,87,96,8.8,3.19,3,3,3.0,61.5,59,58,9.2,137,93.2,6,30,,,,,65.4,58.3,84.1,63.6,60.0,,39.6,1,3,142,46.6,93.8,19.7,27,14,0,5,7,5,3.5,674,7.0,76.5,81,88,6.3,3.1,3,3,3.3,64.8,57,52,8.1,124,84.4,5,26,,,,,62.7,64.4,83.8,70.7,60.0,,40.0,1,1,126,44.2,96.6,18.5,23,13,0,3,5,2,1.6,556,6.3,73.3,15,17,14.7,3.06,0,0,0.0,52.9,9,7,18.2,23,15.6,2,5,,,,,76.6,37.1,75.6,39.1,,,58.3,0,2,26,71.4,80.4,21.7,5,1,0,2,2,3,11.5,141,8.3,0,88.9,9,9,-3.9,1.78,0,0,0.0,77.8,7,1,12.5,10,6.8,1,1,,,,,71.4,54.7,72.3,54.9,,,,0,0,10,100.0,79.2,10.0,1,0,0,0,0,0,0.0,23,2.6,1.97
P.J. Walker,12134,QB,CLV,5,-15.34,0,126,8,52.9,85,94,10.9,2.91,1,4,4.0,42.6,40,50,11.1,109,86.5,5,22,,,,,25.6,28.3,83.7,27.5,,,62.4,2,5,116,22.0,41.7,10.1,11,4,1,5,1,11,9.5,514,5.5,64.1,78,84,9.1,2.63,2,4,4.4,52.4,44,34,12.0,97,77.0,6,22,,,,,24.7,39.5,83.5,36.3,,,64.2,1,5,104,29.4,47.9,10.3,10,3,1,2,0,9,8.7,544,6.5,43.5,23,27,7.5,3.33,0,0,0.0,37.0,10,18,0.0,29,23.0,0,6,,,,,77.6,25.1,76.3,26.2,,,58.3,1,0,31,5.6,65.4,3.4,1,1,0,3,1,2,6.5,130,4.8,0,93.8,16,17,-3.1,2.06,1,0,0.0,82.4,14,2,6.7,17,13.5,1,6,,,,,74.8,68.2,74.5,67.5,,,,0,0,19,0.0,105.9,0.0,0,0,0,0,0,0,0.0,160,9.4,-1.67
Kyler Murray,38334,QB,ARZ,3,12.13,0,123,1,62.5,96,100,10.1,2.89,4,3,2.8,59.0,59,41,1.7,115,93.5,1,33,,,,,87.2,60.8,0.0,57.2,,,80.3,0,2,126,22.0,76.6,7.8,9,6,0,0,2,2,1.6,648,6.5,63.4,82,86,9.4,2.62,4,3,3.3,59.3,51,35,1.9,100,81.3,1,25,,,,,86.3,61.1,0.0,56.7,,,82.3,0,0,109,22.9,85.7,8.0,8,5,0,0,2,1,0.9,546,6.3,71.4,21,21,10.0,3.64,0,1,4.2,71.4,15,6,0.0,23,18.7,0,11,,,,,76.6,67.6,75.6,68.0,,,58.3,0,2,26,16.7,56.3,4.3,1,1,0,0,0,1,3.8,173,8.2,0,100.0,7,7,2.4,1.61,0,1,14.3,100.0,7,0,0.0,8,6.5,0,3,,,,,70.9,80.3,71.9,78.7,,,,0,0,9,,108.9,0.0,0,0,0,0,0,0,0.0,71,10.1,1.89
Dorian Thompson-Robinson,83574,QB,CLV,4,18.42,0,119,8,65.6,90,101,7.2,2.72,3,0,0.0,51.5,52,36,11.9,111,93.3,7,25,,,,,30.6,48.1,34.7,49.0,,,55.3,2,4,119,13.9,48.9,4.5,5,5,2,4,1,6,5.0,414,4.1,65.0,80,90,6.6,2.58,3,0,0.0,50.0,45,29,13.5,97,81.5,7,19,,,,,28.8,44.2,82.9,44.7,,,52.6,2,4,103,13.8,41.4,4.1,4,3,2,3,0,5,4.9,349,3.9,82.4,17,19,5.6,3.17,0,0,0.0,68.4,13,8,7.1,22,18.5,1,6,,,,,76.1,69.2,0.0,70.1,,,64.2,0,0,24,12.5,94.2,4.5,1,2,0,2,1,1,4.2,80,4.2,0,100.0,7,8,-3.0,2.16,0,0,0.0,75.0,6,1,14.3,8,6.7,1,0,,,,,70.3,64.2,71.5,63.8,,,,0,0,8,0.0,77.1,0.0,0,0,0,1,0,0,0.0,15,1.9,0.33
Tyrod Taylor,6332,QB,NYG,6,8.45,0,113,21,72.1,68,78,9.5,2.96,0,7,8.5,61.5,48,49,2.0,104,92.0,1,28,,,,,54.2,66.2,83.3,68.0,,,55.3,0,0,114,20.4,91.3,9.6,10,16,2,8,2,2,1.8,550,7.1,72.6,62,69,8.3,2.62,0,5,6.9,63.8,44,35,2.2,86,76.1,1,21,,,,,48.8,60.6,82.9,62.8,,,52.0,0,0,94,14.3,84.0,5.8,5,12,2,5,1,2,2.1,397,5.8,86.7,15,18,6.3,3.59,0,2,10.5,72.2,13,15,0.0,27,23.9,0,7,,,,,77.0,80.1,76.0,78.9,,,65.3,0,0,29,33.3,122.9,18.5,5,4,0,3,1,0,0.0,182,10.1,0,100.0,9,9,-3.4,1.59,0,0,0.0,100.0,9,1,0.0,9,8.0,0,0,,,,,70.9,66.3,71.9,65.7,,,,0,0,9,0.0,80.1,0.0,0,0,0,0,0,0,0.0,29,3.2,4.36
Anthony Richardson,124393,QB,IND,4,-5.05,0,98,14,66.2,65,73,10.1,3.0,3,3,3.8,54.8,40,30,7.0,86,87.8,3,29,,,,,26.0,53.8,82.4,58.6,,,45.3,2,1,95,20.0,78.8,7.0,6,7,0,3,2,3,3.2,484,6.6,72.1,61,66,8.1,2.71,2,3,4.3,60.6,40,23,9.1,75,76.5,4,25,,,,,24.8,62.4,82.1,68.5,,,46.4,2,0,80,17.4,91.2,5.3,4,5,0,1,2,2,2.5,452,6.8,66.7,15,18,7.4,3.35,1,0,0.0,55.6,10,8,0.0,23,23.5,0,8,,,,,25.2,29.0,75.8,29.9,,,54.5,0,1,27,37.5,72.7,13.0,3,2,0,2,1,2,7.4,125,6.9,0,100.0,11,11,-4.2,1.82,0,0,0.0,90.9,10,1,9.1,12,12.2,1,4,,,,,19.8,46.9,72.9,47.6,,,,0,0,12,100.0,132.2,8.3,1,0,0,0,1,1,8.3,93,8.5,0.09
Taylor Heinicke,9896,QB,ATL,3,9.05,0,87,2,63.6,55,62,11.2,3.1,1,3,4.7,53.2,33,19,5.7,75,86.2,2,24,,,,,83.4,67.0,81.9,63.4,,,70.7,1,1,78,26.3,78.5,6.7,5,8,1,4,2,4,5.1,417,6.7,64.0,50,58,9.3,2.79,1,3,4.9,53.4,31,16,3.1,69,79.3,1,19,,,,,82.9,67.5,81.8,63.1,,,73.2,1,1,73,25.0,82.1,5.8,4,7,1,5,3,2,2.7,354,6.1,78.6,14,16,8.9,3.5,0,0,0.0,62.5,10,6,9.1,18,20.7,1,6,,,,,74.5,56.6,74.3,57.8,,,58.3,0,0,18,16.7,91.7,5.6,1,1,0,2,0,2,11.1,144,9.0,0,88.9,9,12,-3.0,1.94,0,0,0.0,66.7,8,3,0.0,12,13.8,0,1,,,,,72.8,53.5,73.2,53.8,,,,0,0,13,0.0,113.5,0.0,0,0,0,3,1,0,0.0,81,6.8,2.9
Andy Dalton,6187,QB,CAR,1,-26.67,0,63,5,70.2,47,52,9.1,2.48,1,4,7.1,55.8,29,27,12.1,56,88.9,4,17,,,,,81.8,82.7,79.8,80.7,,,64.2,3,0,60,11.1,88.9,5.4,3,1,0,1,2,1,1.7,344,6.6,72.0,50,55,7.3,2.31,1,3,5.1,60.0,33,26,8.3,59,93.7,3,17,,,,,82.1,81.0,79.9,79.1,,,64.2,3,0,63,7.7,90.4,3.4,2,1,0,1,2,0,0.0,346,6.3,66.7,3,3,15.0,2.7,0,1,33.3,33.3,1,1,50.0,4,6.3,1,1,,,,,66.9,66.5,69.2,65.9,,,,0,0,4,100.0,50.7,25.0,1,0,0,0,0,1,25.0,15,5.0,0,83.3,6,6,-3.2,1.16,0,0,0.0,83.3,5,0,0.0,7,11.1,0,1,,,,,69.6,57.1,71.1,57.2,,,,0,0,7,,79.2,0.0,0,0,0,0,0,0,0.0,17,2.8,-1.29
Tim Boyle,21956,QB,NYJ,2,-68.0,0,60,22,72.3,47,48,5.8,2.4,0,0,0.0,64.6,31,24,8.8,56,93.3,3,10,,,,,81.6,65.1,79.6,63.4,,,65.2,0,3,59,33.3,53.6,14.3,8,0,0,1,1,2,3.4,194,4.0,75.5,49,50,5.5,2.35,1,0,0.0,68.0,34,22,8.1,57,95.0,3,10,,,,,81.7,66.9,79.6,65.2,,,65.2,0,3,60,31.8,58.1,12.3,7,0,0,0,1,2,3.3,212,4.2,0.0,1,2,-4.0,2.5,0,0,0.0,0.0,0,2,,3,5.0,0,0,,,,,65.5,47.8,68.2,48.9,,,,0,0,3,50.0,39.6,33.3,1,0,0,1,0,0,0.0,0,0.0,0,100.0,3,4,-2.3,1.75,1,0,0.0,75.0,3,0,0.0,4,6.7,0,0,,,,,66.9,60.9,69.2,60.7,,,,0,0,4,,83.3,0.0,0,0,0,0,0,0,0.0,18,4.5,-4.24
Jake Browning,46401,QB,CIN,3,11.36,0,54,7,68.6,35,38,8.2,3.15,1,1,2.5,63.2,24,21,0.0,51,94.4,0,15,,,,,34.8,51.2,0.0,48.3,,,70.6,0,1,53,33.3,88.0,13.7,7,6,0,2,2,3,5.7,244,6.4,67.7,31,33,6.0,2.92,1,1,2.8,63.6,21,16,0.0,42,77.8,0,10,,,,,29.7,42.8,0.0,40.6,,,70.4,0,1,45,37.5,77.6,14.3,6,3,0,1,1,3,6.7,198,6.0,85.7,7,8,13.4,3.65,0,0,0.0,75.0,6,6,0.0,12,22.2,0,6,,,,,72.4,74.3,72.9,73.1,,,63.5,0,0,12,16.7,154.7,8.3,1,3,0,1,1,0,0.0,97,12.1,0,100.0,3,3,-2.3,2.0,0,0,0.0,100.0,3,1,0.0,3,5.6,0,1,,,,,66.9,56.6,69.2,56.8,,,,0,0,4,0.0,118.8,0.0,0,0,0,0,0,0,0.0,51,17.0,6.13
Jameis Winston,9434,QB,NO,3,-54.76,0,44,20,59.5,37,39,14.4,2.46,0,3,7.1,53.8,21,11,4.5,41,93.2,1,8,,,,,80.2,68.7,78.9,67.8,,,60.5,0,3,44,18.2,55.6,4.9,2,0,0,2,2,2,4.5,221,5.7,60.0,40,42,13.2,2.39,0,3,6.7,54.8,23,10,4.2,43,97.7,1,8,,,,,80.4,68.1,79.0,67.2,,,60.5,0,3,46,10.0,56.0,2.3,1,0,0,2,2,2,4.3,223,5.3,,0,0,,2.8,0,0,,,0,1,,1,2.3,0,0,,,,,60.4,60.0,64.6,60.0,,,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,,0,66.7,3,3,-2.7,1.53,0,0,0.0,66.7,2,0,0.0,3,6.8,0,0,,,,,65.5,55.0,68.2,55.4,,,,0,0,3,,70.1,0.0,0,0,0,0,0,0,0.0,2,0.7,-5.31
